"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160
1000	0.6959812	0.5108498	0.0309171	0.0188095	0.3463376	0.0995432	0.2149853	0.1163710	0.4824878	0.4062810	0.8306099	0.2828959	0.4516402	0.0901415	0.4093240	0.0117110	0.5104928	0.6787562	0.5900731	0.8419917	0.0618190	0.6210106	0.0328958	0.0837821	0.3439807	0.1625715	0.6010166	0.1425903	0.6037169	0.1141787	0.4096959	0.7094465	0.4177632	0.4182038	0.2121424	0.6917093	0.6430001	0.0701662	0.2375545	0.6681183	0.3761927	0.7565648	0.4797379	0.1607399	0.6712727	0.2140248	0.2643472	0.3660943	0.2293625	0.5094808	0.3298415	0.5656719	0.2632023	0.6353244	0.0191787	0.4220289	0.0593823	0.2499162	0.3800887	0.6817366	0.3048080	0.1145598	0.1343068	0.1408515	0.0797068	0.0359923	0.1643631	0.7374724	0.2488279	0.5221334	0.3904803	0.4906361	0.4941425	0.1413845	0.6087894	0.2560357	0.1738998	0.2928656	0.1643304	0.1942433	0.8079207	0.5960694	0.6446376	0.6934277	0.5407278	0.6556589	0.0478514	0.0595552	0.4652879	0.3368467	0.5111208	0.3962109	0.6118234	0.3777842	0.1304595	0.7165480	0.1139702	0.5530153	0.6494716	0.5623117	0.0037895	0.3847456	0.4001083	0.0474105	0.7444406	0.3728047	0.3375809	0.6231413	0.3162051	0.0086761	0.3062444	0.7271362	0.7324851	0.5911008	0.6681336	0.5443921	0.6505716	0.0785218	0.6300548	0.0291616	0.7725942	0.6091693	0.4056433	0.0537254	0.5142770	0.4555505	0.5307046	0.4690320	0.5961753	0.6475881	0.6880387	0.6969924	0.7184521	0.6059886	0.4131337	0.6256517	0.5967394	0.6467585	0.6134619	0.6617902	0.4635739	0.7453233	0.2107119	0.5572972	0.7319172	0.5062777	0.1245366	0.6849427	0.3520858	0.1116532	0.4920076	0.6043202	0.4437916	0.6880538	0.7330975	0.1391014	0.3906921	0.4564036	0.0286961	0.5714536

0	0.7964528	0.7002722	0.0435060	0.0412724	0.4008882	0.0775574	0.1881100	0.0685187	0.5340947	0.3094455	0.5449037	0.2447283	0.2957792	0.0592163	0.3581527	0.0251198	0.5427584	0.7009638	0.4872867	0.7032825	0.0485143	0.6896095	0.0278591	0.1597278	0.2750329	0.2096916	0.8510198	0.1382985	0.5675580	0.1812563	0.2960927	0.6990572	0.4654948	0.3832154	0.3180933	0.6205799	0.6053192	0.1282094	0.2683638	0.7408297	0.3933199	0.6332427	0.3573171	0.2398301	0.7223479	0.2896663	0.2441730	0.3091500	0.2306051	0.5814011	0.2522671	0.5471150	0.1729768	0.5569938	0.0345941	0.5086487	0.0714741	0.2322705	0.4103040	0.6909884	0.2890049	0.1084992	0.0898760	0.1004537	0.0394306	0.0831431	0.1501741	0.6997533	0.2501166	0.4850295	0.4433975	0.4836002	0.4606963	0.0994093	0.6784981	0.2077259	0.2629012	0.2980521	0.1681891	0.1463904	0.6172948	0.6214615	0.7575215	0.7950390	0.6244486	0.6959001	0.0724634	0.0475504	0.4657645	0.2617910	0.4070842	0.4517897	0.7268469	0.4662444	0.1174253	0.6324505	0.1177995	0.7112518	0.6202388	0.7370400	0.0109167	0.5545599	0.5085636	0.0256364	0.7724922	0.3849579	0.4715046	0.7451696	0.2907757	0.0061871	0.4601098	0.5618410	0.6983677	0.6422855	0.7096329	0.5905150	0.5811683	0.0991320	0.6637597	0.0386950	0.7723308	0.6614843	0.4226563	0.0709755	0.7704233	0.4396197	0.4700617	0.4628860	0.5940467	0.6061856	0.7327357	0.7243528	0.6735912	0.7548324	0.3552459	0.6702758	0.6439565	0.5455444	0.5997422	0.5982680	0.4322645	0.7882317	0.3123084	0.6755633	0.6951037	0.5062548	0.1806775	0.5713693	0.3401551	0.1204415	0.5290748	0.6261551	0.4940412	0.8548060	0.6133203	0.1594291	0.4119533	0.5176441	0.0318918	0.5600985
50	0.5897800	0.6401232	0.0144888	0.0042972	0.3744010	0.0965475	0.2104437	0.0788844	0.6449567	0.1624546	0.5380640	0.3540455	0.3419971	0.0667962	0.3087191	0.0308586	0.4433687	0.6942695	0.5844123	0.6083171	0.0445417	0.6143805	0.0071308	0.0835371	0.3081236	0.1264742	0.6969296	0.0862824	0.7036039	0.0519242	0.2948445	0.7461537	0.4625370	0.3060488	0.2797378	0.2833344	0.5205297	0.0985077	0.4643996	0.6416558	0.2598401	0.5018529	0.4901487	0.2815048	0.7335040	0.2744031	0.1515804	0.4168866	0.2666770	0.4934278	0.3381741	0.5229815	0.0753130	0.5622789	0.0031095	0.3445403	0.0720379	0.1837905	0.4250127	0.1410250	0.4106191	0.0247014	0.0282717	0.0718780	0.0529846	0.0622645	0.0840313	0.7243796	0.1626637	0.5420855	0.4106758	0.4679424	0.5094916	0.3928536	0.5990868	0.2539985	0.1621088	0.1857851	0.1907304	0.3162695	0.7016439	0.6903505	0.6322969	0.6861948	0.5407235	0.5999914	0.0654790	0.0791651	0.4886000	0.1046868	0.2808852	0.4114248	0.7475036	0.5582847	0.1709257	0.5196845	0.1160352	0.6604213	0.6214919	0.7232089	0.0143799	0.6275115	0.3049251	0.0230504	0.8556675	0.3195540	0.5683438	0.8220813	0.2715479	0.0046892	0.3184186	0.8634503	0.5031150	0.5015102	0.8381210	0.6713641	0.5604105	0.1209963	0.6595491	0.0595278	0.5882774	0.6432459	0.3343357	0.0445170	0.5259112	0.5632905	0.4632172	0.4538512	0.6067231	0.6644072	0.6218706	0.7047233	0.6212605	0.8672479	0.5243538	0.4955389	0.4907677	0.5355528	0.7930938	0.6134469	0.4743015	0.7477243	0.3396839	0.5637762	0.7275862	0.4327946	0.1083510	0.5765196	0.4104146	0.1141877	0.6133155	0.5918985	0.5345112	0.7581785	0.5563018	0.3519319	0.4276672	0.4392292	0.0808159	0.5079983
100	0.7804149	0.7538195	0.0107106	0.0047898	0.3474063	0.0677339	0.1447006	0.0769996	0.5408177	0.1734828	0.5925987	0.2578995	0.5191891	0.0687650	0.3083660	0.0017291	0.4546751	0.6000904	0.4975381	0.7195716	0.0417659	0.6031668	0.0000634	0.0547003	0.2262921	0.2813708	0.7272865	0.1034894	0.6882909	0.0079599	0.3318011	0.7238773	0.4747426	0.3607135	0.2687015	0.2951299	0.4805154	0.1073129	0.5406489	0.7094799	0.3966581	0.3570158	0.5273684	0.3945725	0.6318141	0.1594117	0.0963960	0.4992937	0.3306546	0.6617369	0.2468518	0.5227297	0.0587251	0.5984531	0.0069648	0.5656233	0.0356130	0.1868733	0.4305945	0.0367202	0.3616077	0.0045336	0.0052437	0.0963257	0.0338310	0.0446953	0.0594952	0.6975580	0.2095795	0.5395990	0.3201955	0.3947622	0.4333778	0.4107053	0.5065204	0.2571427	0.1594811	0.1189456	0.1212743	0.3710344	0.6900100	0.7248306	0.6064447	0.5648632	0.6216560	0.5173811	0.0624900	0.0630934	0.4330410	0.0566923	0.3269095	0.4421533	0.7638363	0.7062664	0.1834471	0.5971218	0.1306999	0.6232638	0.7276983	0.7438736	0.0171094	0.6322338	0.3554862	0.0538465	0.7157366	0.2518085	0.7349768	0.5950783	0.2706032	0.0472365	0.3564138	0.6369278	0.6585335	0.4264612	0.7178052	0.5914361	0.6166596	0.0965742	0.6329053	0.0456663	0.8940984	0.4618209	0.3243487	0.0162409	0.6069013	0.6519717	0.4813719	0.5281680	0.6470276	0.5304452	0.6117387	0.6946512	0.5854548	0.5704824	0.3979523	0.6009406	0.6754557	0.6100791	0.6563180	0.7997495	0.4701697	0.6555656	0.3250380	0.5430670	0.7546366	0.5357981	0.0809787	0.6743650	0.3305412	0.1697286	0.5985774	0.5953763	0.4244383	0.6998480	0.7033143	0.3176137	0.3146118	0.2449175	0.0899759	0.5409947
150	0.6380792	0.7198926	0.0157139	0.0069266	0.3458216	0.1195376	0.2703072	0.0301269	0.5111681	0.0814049	0.6060745	0.3254595	0.3652073	0.1019947	0.4321216	0.0077678	0.4673121	0.5996496	0.4603346	0.6733958	0.0576684	0.7316917	0.0000022	0.1012076	0.2393605	0.2085569	0.5938258	0.1527187	0.5830268	0.0064958	0.3267239	0.6333500	0.4941255	0.3196956	0.2788635	0.2800342	0.5562851	0.0835399	0.5252465	0.6559225	0.5375360	0.3463047	0.4564239	0.3962068	0.7620605	0.1332101	0.0961444	0.5301750	0.5233631	0.7623602	0.3064329	0.6025454	0.0349752	0.6175207	0.0151711	0.3732701	0.0556970	0.2163792	0.3977592	0.0083344	0.3941203	0.0028166	0.0081063	0.0825635	0.0534538	0.0210898	0.0912367	0.6070366	0.2206211	0.5685064	0.4572443	0.4165927	0.4394349	0.3326798	0.6072851	0.2843978	0.1150862	0.0721402	0.1497256	0.3764134	0.5993634	0.6802424	0.7331372	0.5925896	0.5213435	0.5921501	0.1153928	0.0534212	0.5414300	0.0351395	0.3579337	0.3885499	0.7672202	0.7427342	0.0974676	0.5695058	0.2206081	0.7192226	0.6711867	0.6898945	0.0190778	0.6202776	0.3221616	0.0379983	0.7243989	0.3609101	0.5997665	0.6192144	0.3331030	0.0165505	0.5374078	0.6506400	0.6971643	0.6111495	0.7133868	0.6013187	0.5421296	0.1038536	0.6338529	0.0272631	0.7225107	0.6237541	0.3322206	0.0046322	0.6690586	0.6208874	0.6068704	0.4532403	0.6256059	0.5211420	0.7898122	0.5484230	0.6398600	0.8423350	0.4861815	0.6104676	0.6174495	0.5748678	0.7658692	0.6004167	0.4704145	0.7341594	0.3194947	0.6071269	0.6652797	0.3881345	0.0944259	0.6505761	0.3454694	0.1111286	0.6291872	0.5089824	0.5682640	0.6753439	0.6220575	0.3514181	0.2994689	0.4691279	0.0810298	0.5080586
200	0.8634901	0.7120538	0.0038857	0.0023460	0.3708109	0.1044224	0.1882403	0.0797399	0.5298598	0.1014105	0.5942373	0.2611776	0.3288347	0.0364367	0.3369872	0.0001347	0.4894856	0.5310832	0.4809452	0.8105946	0.1062317	0.6165898	0.0004637	0.1545517	0.2122795	0.2046891	0.7218519	0.1466648	0.5437033	0.0120781	0.3063332	0.5448770	0.5972147	0.3573245	0.2943246	0.2696575	0.6032012	0.0591404	0.4083638	0.7966721	0.4974858	0.4522128	0.5347848	0.4748838	0.7424206	0.1613915	0.0740282	0.4804433	0.4697576	0.5021020	0.2377218	0.6483368	0.0253485	0.5637815	0.0121325	0.3517703	0.0544111	0.2068732	0.3817702	0.0382670	0.4101568	0.0107526	0.0115218	0.0614745	0.0257418	0.0784242	0.1025390	0.6912456	0.2687770	0.4954431	0.3619583	0.4004735	0.4295455	0.4281496	0.5559251	0.2490771	0.1296577	0.0929440	0.1586033	0.2853411	0.6523049	0.6997452	0.7745778	0.6019293	0.6290066	0.6799646	0.0404703	0.0870971	0.6160543	0.0259318	0.3509985	0.4700501	0.6047628	0.6346678	0.1056908	0.5909615	0.1803148	0.7930473	0.6505036	0.5991675	0.0078641	0.6198100	0.4017913	0.0164433	0.6344582	0.3347585	0.6659651	0.6584265	0.3312230	0.0071842	0.4244243	0.7748592	0.6522033	0.6319633	0.7374643	0.6721353	0.5103843	0.0974571	0.6175706	0.0259494	0.6636609	0.6275471	0.3279194	0.0005440	0.5425858	0.6252210	0.6069524	0.5853352	0.6275013	0.5405486	0.6167958	0.5970401	0.7482394	0.6941476	0.3924330	0.5521422	0.5362446	0.5384993	0.5917076	0.6239049	0.5575552	0.8313663	0.3016811	0.6018627	0.7061510	0.4496005	0.1179060	0.6842149	0.3593540	0.0704773	0.8265403	0.4511631	0.5166378	0.6469446	0.7026961	0.4617339	0.4001971	0.4808015	0.1070145	0.6429376
250	0.5839593	0.6796258	0.0053721	0.0015629	0.3324757	0.0739854	0.1468582	0.0307653	0.6518338	0.0852149	0.6453151	0.2492448	0.4209823	0.0578465	0.3207855	0.0000279	0.3769828	0.5098702	0.5376810	0.7101799	0.0311078	0.6274314	0.0046086	0.0733879	0.2940139	0.2351760	0.7705900	0.1941699	0.5420645	0.0011145	0.3036999	0.5964062	0.4531518	0.3204694	0.3141497	0.2485066	0.6220838	0.1180261	0.4780817	0.6889742	0.4814773	0.3449079	0.4962178	0.4442550	0.5999608	0.1846514	0.0806405	0.5113022	0.5450374	0.6582956	0.2004441	0.5494696	0.0295778	0.5702234	0.0146476	0.3929250	0.0648248	0.2126799	0.4835051	0.0228864	0.3875835	0.0015753	0.0052311	0.0535722	0.0415675	0.1032660	0.0936412	0.7484345	0.2906181	0.4855674	0.2974063	0.4567024	0.3726730	0.3871662	0.6184185	0.2484282	0.1228759	0.1382013	0.2037993	0.4152831	0.7229432	0.5929803	0.7947879	0.6285643	0.5596701	0.7336872	0.0652867	0.0395028	0.5001578	0.0324113	0.4243585	0.5007719	0.7396971	0.5508638	0.1482383	0.5989110	0.1195376	0.6791254	0.5629587	0.7078843	0.0075877	0.7387029	0.3477906	0.0159249	0.7392742	0.3987190	0.7825463	0.7205290	0.3243371	0.0253575	0.4727863	0.6412920	0.7693579	0.4895587	0.6920567	0.6709413	0.4646886	0.0523283	0.6907995	0.0392041	0.7002919	0.6250822	0.3938895	0.0014775	0.5929625	0.7566674	0.7025749	0.5054158	0.5991301	0.6573164	0.6375035	0.6488912	0.6655872	0.5402024	0.5633366	0.5605566	0.5663583	0.6359112	0.7078398	0.6304058	0.5909311	0.6851625	0.3014556	0.7106927	0.6469850	0.5419048	0.1026987	0.6582026	0.3168009	0.1444717	0.6274257	0.4987773	0.5869360	0.9434611	0.6588651	0.4098018	0.4713975	0.3359021	0.1465275	0.6834248
300	0.5721970	0.5453359	0.0179327	0.0007649	0.3612150	0.0487531	0.1508007	0.0425507	0.7094662	0.1139933	0.6205746	0.2591934	0.3392721	0.0831670	0.3665453	0.0037624	0.4050348	0.4863105	0.5580013	0.6490155	0.0369131	0.7314199	0.0000000	0.0788236	0.2076977	0.1538902	0.6022677	0.1596204	0.6718237	0.0020118	0.4141066	0.5988094	0.4478049	0.4484966	0.2655162	0.2514339	0.6104836	0.0702194	0.4404237	0.7449675	0.5195989	0.3597769	0.5042879	0.4608375	0.7550950	0.1606870	0.0866388	0.5624662	0.5293957	0.6452892	0.2786499	0.6659422	0.0121167	0.4957925	0.0205402	0.3985902	0.0812108	0.2022935	0.4843881	0.0082222	0.4091696	0.0001828	0.0194565	0.0841265	0.0354029	0.0323637	0.0856157	0.7839533	0.2489737	0.5371811	0.3334638	0.3932136	0.5519788	0.3552209	0.6031098	0.2511395	0.1204201	0.1415892	0.1290017	0.2826251	0.6738349	0.6660595	0.6711861	0.5215316	0.4766081	0.4570187	0.0822121	0.0494260	0.5072088	0.0438473	0.5486678	0.6161356	0.6851811	0.6184786	0.2421278	0.7100372	0.1480977	0.8701019	0.5631156	0.7133268	0.0202626	0.7255880	0.4725862	0.0220250	0.7494133	0.3786186	0.6765168	0.7248835	0.3437865	0.0117570	0.4059103	0.5488088	0.6973361	0.5983232	0.5944730	0.7331673	0.4466467	0.0976116	0.6794541	0.0462449	0.6352007	0.5988978	0.3656575	0.0005135	0.5939983	0.6343042	0.6029216	0.5329348	0.5996842	0.4849098	0.5824951	0.6640238	0.7222288	0.8011718	0.5846377	0.6757155	0.6859426	0.6716179	0.6288772	0.6294112	0.6355266	0.5600646	0.2663854	0.8503150	0.7306664	0.4637816	0.1069941	0.6142016	0.3176545	0.1153224	0.5313310	0.7077599	0.5235970	0.6634922	0.6653367	0.3761957	0.4190155	0.4285357	0.1142279	0.5614164
350	0.7749054	0.7983956	0.0025695	0.0000023	0.3137929	0.0738710	0.1874938	0.0665632	0.4869540	0.0973688	0.6001752	0.2828707	0.2694229	0.0775609	0.3013780	0.0000000	0.4634655	0.5191607	0.4638320	0.6725976	0.0486178	0.8376578	0.0000835	0.1194614	0.2354193	0.1557892	0.6786699	0.0860548	0.6169789	0.0001669	0.4061301	0.5966003	0.5945858	0.3291527	0.3063362	0.2716503	0.6027185	0.0737164	0.4096968	0.7635270	0.4702262	0.3487710	0.5899071	0.5062751	0.7503581	0.1595775	0.0876820	0.6696642	0.6085669	0.6124434	0.2454527	0.5747771	0.0216638	0.6903867	0.0232272	0.4834776	0.0535015	0.2296345	0.3933852	0.0130285	0.5393168	0.0000000	0.0035114	0.1030813	0.0279625	0.0232593	0.1005267	0.7036064	0.2152167	0.6262019	0.3106121	0.3003588	0.5222389	0.3625722	0.6899670	0.3386509	0.1503928	0.0942479	0.0904368	0.2275946	0.7272462	0.7114758	0.6996301	0.7814629	0.6639558	0.7103727	0.0346628	0.0973691	0.6043276	0.0209131	0.4915949	0.5195714	0.7682900	0.7940453	0.1653906	0.7000987	0.1916635	0.7244028	0.5979313	0.7166611	0.0145099	0.7002956	0.4371507	0.0237552	0.7149531	0.3770520	0.6477953	0.6953916	0.2766534	0.0103516	0.3931904	0.6303026	0.5536756	0.5115141	0.6924926	0.6624257	0.5281070	0.0686709	0.7815617	0.0509382	0.7415567	0.5543540	0.2773194	0.0004993	0.6049119	0.5978664	0.5581415	0.6786683	0.6652129	0.6447039	0.7718660	0.6611584	0.6786166	0.7295876	0.5249105	0.5790097	0.5473960	0.6268438	0.6527103	0.6406654	0.5563746	0.6976185	0.3113708	0.7112848	0.7674351	0.4593783	0.0866583	0.5336020	0.3664221	0.1503450	0.7601289	0.5474374	0.4873216	0.7209067	0.8002968	0.3685978	0.4516827	0.5334099	0.1774759	0.5413516
400	0.8361156	0.6920309	0.0002884	0.0000477	0.4783971	0.0776009	0.1731152	0.0463483	0.6480985	0.0752777	0.5914236	0.3060038	0.3551501	0.0726679	0.3378805	0.0000254	0.4177307	0.6087909	0.5802945	0.6292275	0.0569181	0.7808466	0.0000000	0.1038710	0.2662052	0.1352217	0.7164288	0.1824847	0.6498896	0.0004672	0.3050408	0.5208586	0.4360155	0.3797210	0.3076396	0.2417060	0.4940902	0.0781312	0.4813730	0.6812713	0.5393699	0.3829966	0.5124766	0.5738843	0.7040164	0.1539671	0.1033267	0.5359388	0.5874510	0.6074532	0.3361474	0.6467358	0.0200165	0.6373324	0.0091274	0.4304891	0.0363077	0.2293335	0.5522141	0.0178519	0.4608019	0.0000188	0.0081684	0.1176375	0.0197046	0.0366054	0.0882569	0.7455747	0.2485027	0.5004456	0.3494837	0.3068477	0.5552302	0.3774122	0.6051061	0.2536577	0.2048775	0.1414487	0.1597224	0.2568906	0.5531131	0.5480223	0.6196320	0.6826037	0.5756908	0.5397741	0.0559076	0.0463213	0.4853108	0.0157389	0.3651747	0.4345196	0.6770150	0.7107472	0.1368796	0.6867985	0.1325653	0.5923693	0.6087204	0.7297754	0.0167869	0.7672025	0.5164697	0.0318669	0.7224016	0.3127921	0.6700183	0.7384640	0.2784532	0.0304417	0.3400444	0.5325803	0.6150937	0.4677077	0.7309040	0.6913987	0.5031519	0.1277345	0.5824284	0.0652851	0.7719825	0.5778434	0.3754697	0.0004937	0.5386893	0.6971976	0.5270588	0.5997236	0.6398533	0.5439906	0.6609920	0.6390503	0.8417740	0.7879266	0.4082025	0.5255916	0.7650218	0.6367157	0.6577290	0.6047356	0.5911644	0.5243239	0.3564809	0.6719050	0.6549563	0.5335201	0.1183380	0.6523571	0.3074806	0.0725872	0.6705469	0.6508501	0.5586557	0.6602377	0.6695243	0.4649679	0.3646276	0.5135354	0.0954845	0.6292800
450	0.7445221	0.7633049	0.0024255	0.0000000	0.3787973	0.0658510	0.2554601	0.0206086	0.5676695	0.0725308	0.6039199	0.3022722	0.4144030	0.0731728	0.3740901	0.0007613	0.3882491	0.5247162	0.5123330	0.6311353	0.0662479	0.7740592	0.0000079	0.1066608	0.2656368	0.2217810	0.6841337	0.1164188	0.6406617	0.0015154	0.3617793	0.6340432	0.4537599	0.4226361	0.2795506	0.2800677	0.6030768	0.1107786	0.4780782	0.7243876	0.4422798	0.3419541	0.5057154	0.4584479	0.6476221	0.0968269	0.1227150	0.5230190	0.5102339	0.6983608	0.2696374	0.5502196	0.0151338	0.5932729	0.0043796	0.3387815	0.0594898	0.2010274	0.5642792	0.0271048	0.5450461	0.0000000	0.0026862	0.0785388	0.0258556	0.0327024	0.1066868	0.5647859	0.1734544	0.5156489	0.3272738	0.4132177	0.4864385	0.3667306	0.5250580	0.2617919	0.1431910	0.1126006	0.2114082	0.2691262	0.6166377	0.6973845	0.7008081	0.6550076	0.4967253	0.5583206	0.0698280	0.0643369	0.4889916	0.0225629	0.3670778	0.5032443	0.6803307	0.6604118	0.2119795	0.6345403	0.1512847	0.5922727	0.6358085	0.6275330	0.0160803	0.8220400	0.3353505	0.0250326	0.5619348	0.3189936	0.7023602	0.7656713	0.3371876	0.0186053	0.3781919	0.6811924	0.7543139	0.6748827	0.8267963	0.6510565	0.5225625	0.0897803	0.7062318	0.0623904	0.6654788	0.5733928	0.4074758	0.0002754	0.6002771	0.4848034	0.5946192	0.5205687	0.6224311	0.5788145	0.6656420	0.5782975	0.6542867	0.6254364	0.4904557	0.5118903	0.4657647	0.6082958	0.8048168	0.5018642	0.5389789	0.6910884	0.3166751	0.6434672	0.6062149	0.4313691	0.1757797	0.6028401	0.3211505	0.1529886	0.6332513	0.5785863	0.4758882	0.8437585	0.6741273	0.4216884	0.4381551	0.3292090	0.1284680	0.5362470
500	0.6273993	0.7906961	0.0032887	0.0000007	0.3759054	0.0636151	0.1405651	0.0263840	0.5649714	0.1296355	0.8033480	0.2091757	0.3468806	0.0695076	0.3489386	0.0006093	0.5251367	0.6113993	0.5238319	0.6823613	0.0477890	0.7038005	0.0010603	0.1001294	0.3698776	0.2095639	0.6160508	0.1348370	0.6465729	0.0040834	0.3689601	0.7119955	0.3974753	0.3377671	0.3282987	0.2507498	0.5793076	0.0955107	0.3794772	0.6726519	0.4421576	0.3296024	0.5218957	0.4906950	0.5772631	0.1834166	0.1138969	0.5697323	0.6674478	0.6408896	0.2493675	0.6551549	0.0131046	0.7555659	0.0031110	0.3888725	0.0334306	0.2795855	0.5779733	0.0119062	0.3864890	0.0002934	0.0081725	0.1115187	0.0138157	0.0412187	0.0615190	0.7776477	0.1677599	0.4955579	0.3543422	0.4292130	0.5230782	0.4147330	0.6728194	0.2812134	0.1102003	0.1502412	0.1851291	0.3479152	0.7379046	0.6543149	0.7022076	0.7729608	0.4252940	0.5718078	0.0581027	0.0587059	0.5428655	0.0177107	0.3703803	0.4422735	0.7445863	0.5643898	0.1716207	0.6623971	0.1863771	0.5885013	0.5917410	0.8037505	0.0163160	0.6874499	0.2714018	0.0439409	0.7729766	0.3000131	0.5716453	0.6554072	0.2547695	0.0080418	0.3376076	0.7881698	0.6715439	0.5078085	0.6825780	0.6447032	0.6817308	0.1302004	0.8941753	0.0410429	0.6536873	0.5734977	0.2693244	0.0000000	0.5427690	0.6184090	0.6243440	0.4775935	0.6651023	0.7850692	0.6483612	0.5436045	0.7509783	0.6830834	0.5680529	0.5753823	0.6028523	0.6327901	0.6427330	0.6723560	0.5685371	0.6739695	0.2753644	0.6743886	0.7249899	0.4128220	0.1803800	0.7588750	0.3074350	0.1235689	0.6129594	0.6191051	0.5332999	0.7669471	0.6098536	0.4347310	0.3304297	0.4079264	0.1329433	0.6461530
550	0.5874452	0.6306473	0.0081816	0.0066572	0.4319478	0.0793632	0.1582868	0.0839550	0.5136170	0.2747728	0.7146491	0.2096101	0.4401675	0.0492246	0.4518151	0.0145920	0.4765266	0.5590446	0.4905858	0.6008198	0.1159500	0.8172675	0.0193027	0.0917230	0.2870710	0.1849000	0.6794487	0.1050172	0.6402054	0.0994320	0.3709693	0.6299995	0.4160019	0.2609336	0.2704826	0.5279477	0.4590707	0.1097631	0.2438012	0.6669546	0.4469310	0.6225624	0.3388172	0.3415688	0.6516572	0.2544049	0.3409666	0.5272781	0.4169864	0.4796637	0.2365933	0.5996742	0.1780630	0.4883140	0.0233598	0.4105156	0.0562105	0.1755234	0.5418707	0.5792965	0.4680905	0.0523426	0.1316816	0.0654179	0.0161568	0.0549292	0.1260352	0.6327271	0.2271921	0.4385767	0.4185048	0.4240699	0.3740041	0.1111058	0.4908263	0.3227327	0.1545650	0.2083293	0.1312523	0.2293219	0.7276073	0.7225449	0.6647036	0.6269206	0.4349218	0.6404091	0.0734516	0.0464765	0.4969546	0.1438833	0.3164469	0.3621821	0.6601889	0.4625835	0.1277880	0.6143292	0.1339079	0.6369620	0.6767712	0.7038078	0.0259221	0.4426866	0.3686422	0.0362814	0.7142009	0.3006506	0.5230903	0.6215176	0.2736776	0.0187937	0.4499515	0.5605547	0.6668626	0.6354279	0.7816105	0.5689003	0.5900183	0.1162341	0.6308977	0.0572689	0.7157400	0.5501996	0.3330087	0.0668690	0.5708758	0.4761826	0.3853474	0.5212475	0.6741847	0.6241007	0.8371450	0.6074857	0.7410101	0.7088910	0.3590655	0.5524000	0.4747854	0.5731439	0.7417572	0.6133198	0.4649704	0.5726678	0.2355081	0.5536925	0.8300094	0.3801281	0.1119397	0.6762989	0.3172218	0.1279576	0.4341406	0.5474353	0.5234222	0.6206019	0.7355035	0.3095279	0.3340258	0.4505068	0.0422959	0.6762785
600	0.7354161	0.6784065	0.0340967	0.0027124	0.2763538	0.0456175	0.1547301	0.0516697	0.5734701	0.2517493	0.5999261	0.3520197	0.3947321	0.1432816	0.2858489	0.0129429	0.3984808	0.6678341	0.4657919	0.5950315	0.0565427	0.6635112	0.0129003	0.0682631	0.3105713	0.1292870	0.8047668	0.0970694	0.5228619	0.1663078	0.2705415	0.7920466	0.4433008	0.3941000	0.2561461	0.6722150	0.4875902	0.0876247	0.2128838	0.6562823	0.3459020	0.7695062	0.3441949	0.2711465	0.7481173	0.2393982	0.2326587	0.3706846	0.3711492	0.6438796	0.2240502	0.6187665	0.2127916	0.6372802	0.0118995	0.3783420	0.0406262	0.2260438	0.3864052	0.6358828	0.5133642	0.1085073	0.1429495	0.0442998	0.0350878	0.0311650	0.0612620	0.8123996	0.2291803	0.5003987	0.4005764	0.4709120	0.3210935	0.1005515	0.5919955	0.2322471	0.1867652	0.1965368	0.1601755	0.2057067	0.5707930	0.6830691	0.7249446	0.6291154	0.5101142	0.7079612	0.0530728	0.0840992	0.5113307	0.2189189	0.3144997	0.3789030	0.6701585	0.3715767	0.1355862	0.5458635	0.1122977	0.6918404	0.7112154	0.8537500	0.0153033	0.4255950	0.3343400	0.0402754	0.7373765	0.3169924	0.4534411	0.6839097	0.2874677	0.0352912	0.4072830	0.6515782	0.6531325	0.4054974	0.7569950	0.6362022	0.5431931	0.1027723	0.7137395	0.0323173	0.7621541	0.5769603	0.3677951	0.1107162	0.5400574	0.4371493	0.4938747	0.4459760	0.7841284	0.5933396	0.5799811	0.7249235	0.6336029	0.7682374	0.3457976	0.4892460	0.5177541	0.5046092	0.6892256	0.6287143	0.4715589	0.7308217	0.3000895	0.5146631	0.5842703	0.4599269	0.1365413	0.6271007	0.2529318	0.1341570	0.4875168	0.4854227	0.5894906	0.5999121	0.7099288	0.1555820	0.3622312	0.3592337	0.0182813	0.5512462
