"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80
450	0.0773424	0.7073633	0.2412605	0.6653862	0.0312339	0.0245288	0.0726578	0.7590791	0.0280820	0.0027935	0.4101246	0.0000081	0.0098574	0.2492182	0.3351528	0.1443354	0.0008237	0.1393469	0.0141684	0.1532840	0.0825331	0.1442488	0.6921692	0.0019155	0.6323302	0.0412549	0.2513707	0.2809314	0.0448829	0.0046865	0.1248300	0.7439110	0.0881646	0.7241554	0.0922487	0.0016939	0.1040257	0.0065121	0.1947904	0.0253076	0.4209423	0.6803032	0.2855005	0.5757666	0.5298309	0.2068239	0.6274954	0.7923729	0.3295917	0.2827335	0.5166400	0.8432569	0.4054458	0.7135962	0.0441611	0.1919438	0.1487524	0.3949290	0.3307846	0.2947139	0.0389659	0.4425185	0.0328235	0.6100906	0.3704142	0.2570056	0.2951244	0.5134117	0.2511951	0.0559699	0.4362520	0.6164522	0.5171941	0.2655180	0.3658266	0.6607651	0.3604364	0.5780005	0.0926635	0.1431829
500	0.1101347	0.6813787	0.2417267	0.6215007	0.0185180	0.0187517	0.0839461	0.8191695	0.0184809	0.0007645	0.2617829	0.0000213	0.0214325	0.2464386	0.2996836	0.1804543	0.0004853	0.1250770	0.0090679	0.0874107	0.0676534	0.1971404	0.5554504	0.0002359	0.7109881	0.0803278	0.2907190	0.2554088	0.0186985	0.0136709	0.0937065	0.6645485	0.0665324	0.6779067	0.1056994	0.0018582	0.1580927	0.0012625	0.1805229	0.0239145	0.4037159	0.7739309	0.4331529	0.6611923	0.5997809	0.1200389	0.5709596	0.7181249	0.4506233	0.2592513	0.5642313	0.5927622	0.5175794	0.6589509	0.0460320	0.1540840	0.1799181	0.4408628	0.3337398	0.2989638	0.0581537	0.5336033	0.0621536	0.4645541	0.3838670	0.3106424	0.3588746	0.4042182	0.2320424	0.0494814	0.4183865	0.7633531	0.5957616	0.2971656	0.2587550	0.4920510	0.4791361	0.4114563	0.1362124	0.1006299
550	0.1176549	0.7293157	0.2734558	0.6353839	0.0149189	0.0425770	0.0357457	0.8382731	0.0742057	0.0009584	0.3621707	0.0921182	0.0076612	0.2317775	0.2121073	0.5168634	0.3988289	0.2162063	0.0106680	0.0910901	0.0984107	0.3544796	0.5542719	0.1025541	0.6771779	0.0235569	0.2394992	0.1908996	0.0456192	0.0113161	0.2329559	0.6587041	0.1384826	0.7555007	0.0959872	0.0074564	0.1484970	0.0770526	0.1259096	0.0962687	0.3861407	0.6696701	0.5534701	0.6396990	0.4071743	0.1718988	0.6284140	0.6336165	0.4345447	0.0455991	0.6837245	0.6076565	0.4006289	0.5701647	0.0850701	0.1943921	0.2008462	0.4101575	0.3549433	0.6138729	0.0602285	0.5456781	0.0560438	0.4430917	0.3200400	0.2855498	0.6172411	0.2426642	0.3174670	0.6055448	0.4851505	0.4364970	0.4534565	0.4337463	0.2865100	0.5279710	0.2121687	0.5296449	0.0463663	0.1538782
600	0.1509115	0.6308200	0.2527286	0.7000831	0.0294181	0.0892779	0.0427683	0.5505265	0.0677748	0.0000900	0.2793621	0.1538791	0.0057952	0.3057571	0.2726054	0.7915863	0.3812584	0.2557588	0.0064350	0.0691422	0.0461218	0.3449674	0.5689632	0.0538739	0.6838334	0.0137414	0.3395680	0.2143967	0.0371478	0.0105946	0.2021015	0.6462472	0.1829603	0.7174764	0.1334233	0.0003695	0.2295786	0.1378158	0.1724961	0.1197038	0.3704472	0.7112212	0.4769445	0.4755816	0.3256005	0.2232622	0.5029436	0.6841818	0.3219020	0.0184228	0.6652427	0.8092764	0.3222400	0.6812311	0.1010993	0.3367128	0.2670387	0.4862029	0.3865861	0.5870997	0.2156472	0.5509402	0.0454368	0.5278799	0.4686656	0.4279545	0.6031456	0.3044005	0.5790405	0.6342327	0.5262064	0.5252479	0.6391092	0.4560536	0.3121937	0.6272535	0.1567753	0.6287999	0.0488029	0.2841723
650	0.0891583	0.6623262	0.3793960	0.6702045	0.0296289	0.0453840	0.0703559	0.6977035	0.0508738	0.0000000	0.2993396	0.1563648	0.0002168	0.2628438	0.2942711	0.8589112	0.4143702	0.2665339	0.0279581	0.1273783	0.0720344	0.3692035	0.6697459	0.1199640	0.7848030	0.0281741	0.3423262	0.2723506	0.0281873	0.0177790	0.1236533	0.4895506	0.2039095	0.7102778	0.0917264	0.0013314	0.2316283	0.1403666	0.1984969	0.1452107	0.3673506	0.6919388	0.4885573	0.3685826	0.3056995	0.1337565	0.4443643	0.7404627	0.4196950	0.0090263	0.5302261	0.5949325	0.2751389	0.7084664	0.1345397	0.4275026	0.3702604	0.6882933	0.3490448	0.6017686	0.2170768	0.6336543	0.0549450	0.6527265	0.5013968	0.5697448	0.6653251	0.3462040	0.6303060	0.6367237	0.4354936	0.6111743	0.6103627	0.5039405	0.4176802	0.6266029	0.1468520	0.6289588	0.0186049	0.4069761
700	0.0799024	0.6219031	0.2877391	0.7558204	0.0230452	0.0725163	0.0919521	0.7944870	0.0873110	0.0020443	0.3769358	0.1560259	0.0006397	0.2510366	0.3857974	0.6322421	0.3328275	0.2668921	0.0059987	0.0952238	0.1838469	0.3193955	0.6060987	0.1610277	0.7081193	0.0524781	0.3906652	0.2355219	0.0342264	0.0128720	0.1664505	0.5895488	0.1039697	0.6428809	0.0881974	0.0002830	0.2904325	0.0959139	0.1429951	0.1234587	0.4112095	0.7101759	0.4189815	0.5461641	0.3914195	0.1238582	0.6714216	0.8276793	0.2862820	0.0010677	0.7298597	0.7794696	0.3355242	0.8022178	0.1033477	0.3591417	0.1617556	0.5712777	0.2764571	0.6737228	0.1764998	0.6477909	0.0445373	0.7533003	0.4554551	0.3939749	0.6913657	0.4159881	0.5840172	0.6978089	0.5585169	0.5800136	0.6837734	0.4826957	0.4163286	0.6861147	0.3163073	0.7660277	0.0608933	0.3915351
750	0.0522361	0.7364112	0.2804914	0.6772590	0.0329129	0.0808934	0.0745005	0.7533278	0.0777319	0.0031394	0.3083717	0.1591897	0.0080725	0.2679831	0.2841117	0.6870745	0.3559573	0.2109105	0.0070054	0.1242106	0.1364327	0.3874112	0.4757402	0.1528204	0.8154011	0.0485028	0.3110519	0.1987792	0.0426598	0.0169302	0.1398247	0.5281547	0.1038619	0.7640740	0.0947081	0.0005187	0.2015237	0.0979936	0.2324562	0.1168261	0.4434342	0.7258573	0.4810961	0.4875128	0.3187308	0.1306070	0.4597890	0.6815781	0.3374328	0.0048810	0.5893634	0.6350058	0.3053994	0.7417868	0.1935278	0.3330562	0.1395156	0.6312346	0.3473578	0.7513756	0.1949274	0.7861551	0.0850353	0.6423125	0.4645254	0.4892793	0.8187071	0.3945225	0.6932756	0.6732979	0.5144872	0.6247060	0.6233751	0.5633037	0.4520666	0.6837377	0.2492323	0.7099178	0.0201134	0.3229976
800	0.0664923	0.7009791	0.3073687	0.7353978	0.0218378	0.0587710	0.0357430	0.7918884	0.0802755	0.0001048	0.3031433	0.1312328	0.0105772	0.2523160	0.3563298	0.7713648	0.3724776	0.2550402	0.0311909	0.1521853	0.0788790	0.4033405	0.6609272	0.1455605	0.7347841	0.0507655	0.3136876	0.1997251	0.0510998	0.0109263	0.1124611	0.5412664	0.1342714	0.6864961	0.1080670	0.0062717	0.2714188	0.1201433	0.1921980	0.1323556	0.4112007	0.7012228	0.4449720	0.4905625	0.3165205	0.1240429	0.5091174	0.6312704	0.3668325	0.0045225	0.6786793	0.5971575	0.4248346	0.6599788	0.2291908	0.4394905	0.1371933	0.7172037	0.3184655	0.6190909	0.1671650	0.6123518	0.0488569	0.6158316	0.5305216	0.5159132	0.6943575	0.4388411	0.7172944	0.5521244	0.4908059	0.5203695	0.6971707	0.6299382	0.4832095	0.7140874	0.2160467	0.7803758	0.0413893	0.3967467
850	0.0934493	0.7114032	0.4252007	0.7938803	0.0427603	0.0795368	0.0499479	0.6995241	0.0751215	0.0000051	0.2853983	0.1681840	0.0182837	0.2938225	0.3340557	0.7023710	0.4586729	0.3193540	0.0100379	0.0982781	0.1098570	0.3648562	0.5906329	0.1323287	0.6786806	0.0306239	0.3858163	0.2245428	0.0546323	0.0303591	0.1076536	0.6044047	0.1177882	0.7496890	0.0848874	0.0019827	0.2915407	0.1050642	0.2372081	0.1350632	0.4598429	0.7069400	0.6069902	0.5456827	0.2859977	0.0983913	0.5970044	0.7385021	0.3581680	0.0015560	0.6363315	0.6343238	0.3468598	0.6532847	0.2251393	0.3729445	0.2042786	0.7122071	0.4690640	0.7442336	0.1784943	0.6019070	0.0403255	0.6386787	0.5415556	0.5511329	0.6734454	0.3551295	0.6819892	0.6113317	0.4356134	0.5446743	0.6847259	0.5672724	0.3648881	0.7729812	0.2421229	0.7817175	0.0383159	0.4728167
900	0.0658778	0.5982840	0.2387278	0.6868040	0.0057399	0.0534701	0.0299032	0.5229792	0.0599460	0.0017688	0.2859885	0.2080951	0.0298583	0.2861649	0.3521234	0.7282091	0.4163355	0.2683783	0.0067664	0.0797504	0.0783406	0.4774536	0.6118044	0.1694034	0.7312206	0.0345306	0.4193517	0.2754650	0.0684827	0.0165764	0.1699842	0.5290998	0.1551515	0.7056474	0.0846006	0.0025629	0.2490629	0.1134904	0.1667284	0.1297946	0.4347254	0.7900885	0.5176187	0.4366076	0.2994479	0.1403812	0.5683341	0.6918761	0.3728829	0.0013241	0.6305875	0.7326688	0.3245141	0.5865611	0.2256595	0.3597575	0.1241378	0.7357087	0.3709157	0.6570043	0.2866383	0.6512214	0.0751295	0.6633197	0.6034221	0.5527782	0.7284273	0.2959650	0.7431196	0.7237111	0.4601145	0.5204787	0.6036022	0.6667977	0.4649386	0.7033997	0.2525587	0.7433904	0.0277774	0.4593260
950	0.0416150	0.6554828	0.2813795	0.6858839	0.0691201	0.0631817	0.0152272	0.6547455	0.0716726	0.0001515	0.3190707	0.1422018	0.0062890	0.2352781	0.2903755	0.7320214	0.3186530	0.1815351	0.0335177	0.0673411	0.1038804	0.3502809	0.6863895	0.1231264	0.7721290	0.0331091	0.2277917	0.1911044	0.0371316	0.0119767	0.1799512	0.6705489	0.1021495	0.7050655	0.0992062	0.0104051	0.2897687	0.0991630	0.1119268	0.1235931	0.4654008	0.6868151	0.5263865	0.4760012	0.3229745	0.1188729	0.5178752	0.7691193	0.2796505	0.0020802	0.6718937	0.7583026	0.3997900	0.7854905	0.1893399	0.4310016	0.1423749	0.5603185	0.3237846	0.6916878	0.2688234	0.5966562	0.0620397	0.7059516	0.6053264	0.5749184	0.7927436	0.4035439	0.7893920	0.6991460	0.4259929	0.6340990	0.6459771	0.6071870	0.4124345	0.6498196	0.2540976	0.5767679	0.0631780	0.4771294
1000	0.0469460	0.7108542	0.2275315	0.5841846	0.0176004	0.0629627	0.0240838	0.6245312	0.0636332	0.0000000	0.2503715	0.1440114	0.0106992	0.2409915	0.2043407	0.7083625	0.3696121	0.2031493	0.0064376	0.0661816	0.0719893	0.3336221	0.5213968	0.0756262	0.7184570	0.0185823	0.1991239	0.1997394	0.0242081	0.0068285	0.1781502	0.6686769	0.1371620	0.6760427	0.1018782	0.0240003	0.1874823	0.0864689	0.1529186	0.0676390	0.4139217	0.6298068	0.4718753	0.5545455	0.3348595	0.0964408	0.6333394	0.6964925	0.2661190	0.0011250	0.6797046	0.5823807	0.2961681	0.7582833	0.1821866	0.4612666	0.1407217	0.6232209	0.3177461	0.7466408	0.2373681	0.7207320	0.0247320	0.5968031	0.5167370	0.4984569	0.6002162	0.3497915	0.7543321	0.7545661	0.5002176	0.6451408	0.5766657	0.5513960	0.4278004	0.7663180	0.2334171	0.6730874	0.0305201	0.4394829

0	0.1283351	0.6778640	0.2878661	0.7030065	0.0053056	0.0422648	0.0492215	0.8195194	0.0467830	0.0008315	0.3069533	0.1868184	0.0918306	0.2939014	0.3784363	0.5770338	0.3765615	0.2555344	0.0435750	0.0685943	0.1382843	0.3928955	0.5408822	0.1167522	0.6915953	0.0526383	0.3774775	0.2895009	0.0325663	0.0207902	0.1936364	0.6011676	0.1351958	0.7541476	0.1138058	0.0005414	0.2759878	0.1148797	0.1804671	0.1222751	0.4370745	0.5604397	0.4425232	0.3388098	0.3226149	0.1970657	0.5811856	0.7260549	0.3287622	0.0014509	0.7152829	0.7989102	0.3265002	0.6732928	0.1788404	0.4010373	0.2001434	0.6746520	0.4009566	0.6232918	0.2341389	0.6086255	0.0248704	0.7282888	0.5492531	0.6345109	0.6803954	0.4139141	0.6160693	0.7903039	0.4382608	0.5762389	0.7067489	0.5398230	0.4147439	0.6622772	0.2545287	0.6305787	0.0534021	0.4563269
50	0.0290521	0.6974600	0.3003271	0.5678360	0.0081130	0.0476201	0.0384441	0.7121215	0.1081601	0.0013105	0.2915764	0.0616951	0.0112886	0.1204311	0.2722372	0.2984540	0.4139386	0.3032519	0.0009997	0.0868662	0.1182661	0.1631871	0.1526223	0.1116137	0.7682610	0.0180144	0.1199327	0.2415224	0.0242576	0.0091594	0.1763741	0.6199342	0.1378324	0.7254518	0.0852112	0.0022544	0.2914924	0.0196645	0.2257611	0.0953830	0.6491670	0.6180529	0.4961307	0.4913586	0.3147012	0.1333287	0.5771497	0.6051042	0.2948829	0.0052378	0.5192574	0.6882781	0.3738263	0.5599219	0.2024858	0.5824804	0.1728282	0.6507491	0.6714310	0.6494718	0.1962007	0.7618261	0.1620807	0.6308090	0.5301107	0.6584701	0.1859668	0.3672619	0.7001788	0.6071376	0.4521641	0.6671903	0.6913402	0.5804934	0.4443426	0.7428537	0.3471745	0.7566533	0.0385580	0.5585482
100	0.0207705	0.5896429	0.4126228	0.4271865	0.0000009	0.0536113	0.1008559	0.7164613	0.1327465	0.0006189	0.3502918	0.0126691	0.0044776	0.0409714	0.2725695	0.2904793	0.2735767	0.2485893	0.0003444	0.0844381	0.1219901	0.1013878	0.1313009	0.1038657	0.6720495	0.0211954	0.0399484	0.2117876	0.0537832	0.0073207	0.1661217	0.5854212	0.1590426	0.7504051	0.0912286	0.0094890	0.2401206	0.0104692	0.1726528	0.0958115	0.6189333	0.7888775	0.5474023	0.6462004	0.2992912	0.1135443	0.5706199	0.6234959	0.3411474	0.0049065	0.6251553	0.8185695	0.1927495	0.6580949	0.0867881	0.6485429	0.1991538	0.6946513	0.6667861	0.5982270	0.1133361	0.7970609	0.1849799	0.5181930	0.4479094	0.7379984	0.0174372	0.2688309	0.8148296	0.7505499	0.4251060	0.5970996	0.6699937	0.5969080	0.3690428	0.5925733	0.2166353	0.5817032	0.0421540	0.5575696
150	0.0262160	0.8111747	0.3233680	0.3792461	0.0001903	0.0675175	0.2108206	0.7341504	0.0822980	0.0016994	0.2644234	0.0015917	0.0204536	0.0198210	0.2468995	0.3746060	0.3293346	0.2019822	0.0009171	0.0625776	0.1017426	0.0863019	0.1004643	0.1769593	0.7662544	0.0120658	0.0479960	0.2909459	0.0325043	0.0060331	0.2319001	0.5718174	0.2310546	0.6561152	0.0793929	0.0033202	0.2490576	0.0039825	0.1915815	0.0839910	0.7014098	0.6403843	0.4441336	0.5220699	0.2839168	0.1848771	0.7373888	0.7775041	0.4200116	0.0004813	0.7222864	0.6488807	0.2153007	0.7207173	0.0863898	0.5458067	0.1994841	0.6920158	0.6776843	0.5787814	0.0891166	0.6416155	0.1902024	0.6454638	0.4646245	0.6913338	0.0076613	0.1832224	0.6054457	0.6892267	0.4126599	0.5874491	0.6485628	0.5852216	0.1464342	0.4425546	0.1808189	0.7157755	0.0544799	0.6665109
200	0.0283043	0.7925949	0.3926155	0.4435000	0.0001172	0.0780258	0.3452874	0.5729572	0.1120147	0.0000498	0.3099816	0.0002662	0.0106238	0.0167959	0.2889420	0.2630380	0.3453604	0.2273769	0.0004500	0.1050685	0.1332770	0.1600899	0.1053369	0.0671040	0.7119812	0.0136817	0.0155220	0.3102492	0.0303109	0.0132596	0.1462079	0.4610620	0.1153467	0.7862191	0.0821051	0.0018692	0.1949791	0.0002195	0.1052337	0.1091872	0.6552567	0.6621561	0.5885642	0.6709205	0.3536534	0.1197993	0.7002376	0.7660833	0.3435135	0.0003035	0.6838428	0.6572536	0.1049721	0.6491234	0.0136902	0.5273956	0.1778986	0.5460246	0.5598887	0.5874367	0.0353638	0.6208412	0.2184220	0.5970373	0.3142452	0.7024661	0.0087574	0.0869973	0.4451299	0.5675708	0.4553216	0.5154787	0.5978601	0.5553693	0.1482181	0.5298350	0.1299810	0.7697369	0.1710399	0.6785503
250	0.0161387	0.6495492	0.3481551	0.3465798	0.0002234	0.0592634	0.3436904	0.6062913	0.1272043	0.0006803	0.4511588	0.0000906	0.0095869	0.0146690	0.3477199	0.2853904	0.3723634	0.3128836	0.0004459	0.1069502	0.1024123	0.1015671	0.1113121	0.1424334	0.6288968	0.0172110	0.0334419	0.2011996	0.0270433	0.0073169	0.2237116	0.6489625	0.1097909	0.8352720	0.0738557	0.0007600	0.2649344	0.0049528	0.1914947	0.1644917	0.5647305	0.6782380	0.4910256	0.5609847	0.3965696	0.1360588	0.6432305	0.6583705	0.3997011	0.0013858	0.7102950	0.7504390	0.1296559	0.5948943	0.0368408	0.5269636	0.1850336	0.3713315	0.6117726	0.4796657	0.0119019	0.6407196	0.1332621	0.6846530	0.3641227	0.5556032	0.0114737	0.0467218	0.3747651	0.6508356	0.5805817	0.4279105	0.7946680	0.6553329	0.1314757	0.5079802	0.1259918	0.6543909	0.3206614	0.6418285
300	0.0164908	0.6796731	0.3677410	0.2936228	0.0000003	0.1096062	0.3542880	0.7347200	0.0907422	0.0000000	0.4298944	0.0000067	0.0215123	0.0080146	0.2924358	0.2806573	0.3931130	0.2352696	0.0004359	0.1131746	0.1097309	0.1479188	0.0679323	0.1212727	0.6808537	0.0098407	0.0280551	0.3337226	0.0473374	0.0187626	0.2084141	0.5605229	0.1410531	0.6453737	0.0537933	0.0128295	0.1898050	0.0112868	0.1978160	0.1890060	0.6396630	0.7633477	0.5640208	0.7073003	0.2510007	0.1479362	0.5772033	0.7897170	0.4083999	0.0004584	0.7113406	0.8210139	0.0404825	0.6989907	0.0448014	0.4936110	0.1585531	0.3689004	0.6020521	0.6357918	0.0038856	0.6392346	0.1759836	0.5939703	0.2512923	0.6877309	0.0128757	0.0291912	0.3393747	0.6590329	0.4661167	0.4278732	0.6524989	0.3977340	0.1214746	0.4947419	0.0901358	0.7280555	0.4472361	0.8234156
