"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
700	0.7038296	0.4071902	0.5274653	0.5227898	0.7228830	0.4019951	0.2044901	0.0831777	0.5708652	0.1297171	0.3506711	0.3071405	0.6695916	0.4482544	0.4996775	0.6959787	0.6990301	0.6298604	0.7692516	0.3236421	0.7409309	0.6781498	0.7670555	0.0313041	0.1648464	0.1173697	0.6398241	0.3031444	0.5488676	0.0388233	0.0228199	0.4163432	0.0891007	0.3232138	0.7831732	0.5337630	0.7754223	0.7339300	0.6794431	0.1623587	0.5070253	0.6587805	0.7392657	0.5295539	0.5063355	0.0015246	0.7739308	0.2953154	0.3734112	0.2491902
750	0.6029398	0.4095008	0.6075231	0.6400164	0.7188653	0.3822910	0.1700774	0.0691277	0.5401270	0.0922695	0.3743003	0.2092158	0.7192244	0.4187480	0.5762884	0.7053029	0.7599523	0.7933152	0.8589643	0.2733536	0.8197697	0.4759513	0.7656630	0.0785948	0.1437728	0.1374930	0.5984891	0.3179976	0.5786587	0.0271940	0.0449704	0.3563822	0.1085073	0.3292206	0.8012490	0.5397730	0.6939869	0.7758655	0.7415676	0.2257701	0.4767320	0.7255018	0.5678350	0.5200738	0.4848866	0.0088422	0.6171948	0.3105369	0.2890975	0.2616596
800	0.6604783	0.4181617	0.6082773	0.7477505	0.6432995	0.4277108	0.1620582	0.0557343	0.4588385	0.1009933	0.2776869	0.2862037	0.6881312	0.4056057	0.5031329	0.7622872	0.6469357	0.8040266	0.6522444	0.4156446	0.7247720	0.4862235	0.7936648	0.0594512	0.2151176	0.0655721	0.5466697	0.1941854	0.6607673	0.0236432	0.0264094	0.4270934	0.0592998	0.3375619	0.6656134	0.5101568	0.7278670	0.6798896	0.7815713	0.2280427	0.5774581	0.7803136	0.6597080	0.5291546	0.4979349	0.0130033	0.6010046	0.4241985	0.2412355	0.1407630
850	0.7812572	0.4178443	0.6916714	0.7546112	0.6735542	0.3357907	0.0982571	0.0760075	0.4580712	0.1408231	0.3557561	0.3142142	0.6427205	0.4223932	0.4253330	0.6481656	0.7144962	0.7466115	0.6864401	0.2591079	0.7035186	0.5496936	0.7584606	0.0300723	0.1963262	0.1169887	0.6756367	0.1872153	0.6534866	0.0248445	0.0167809	0.3718593	0.0447895	0.3983740	0.7430690	0.5176879	0.6190553	0.7010107	0.6055868	0.2097743	0.5418600	0.7341616	0.5438750	0.6598206	0.4719850	0.0035863	0.7535764	0.3390467	0.4184896	0.1887822
900	0.7618071	0.5072158	0.5914710	0.7523351	0.7287323	0.4592412	0.1480365	0.1017668	0.3972378	0.1442109	0.3362652	0.2498468	0.7509778	0.5102196	0.5108724	0.7853695	0.8382526	0.7353540	0.6953032	0.3254529	0.7735406	0.6195809	0.8079928	0.0600975	0.2414395	0.0744081	0.6102795	0.1675407	0.6058258	0.0245683	0.0221380	0.4167810	0.0792490	0.3492856	0.7336773	0.5591616	0.9276537	0.7826703	0.7738155	0.1724778	0.5629563	0.6108580	0.6491597	0.5261170	0.5060593	0.0042387	0.7216666	0.3412576	0.3302534	0.1769869
950	0.7119158	0.4422873	0.7373233	0.6205267	0.6734214	0.3638770	0.1148434	0.0718332	0.4650440	0.1403378	0.3685375	0.3782003	0.6166516	0.4466000	0.5699875	0.8005520	0.6725465	0.6106532	0.6330497	0.2949777	0.6968483	0.6936196	0.7487488	0.0609518	0.1976372	0.0810493	0.6149514	0.2172911	0.6640254	0.0238037	0.0314120	0.3961651	0.0864377	0.3822348	0.7431627	0.5176253	0.7026674	0.8489252	0.7378277	0.2001924	0.5484341	0.7622906	0.7665438	0.6033250	0.4241282	0.0023286	0.6931247	0.3448716	0.3028035	0.2373916
1000	0.6094906	0.4628294	0.7047757	0.7363777	0.7092202	0.3796195	0.1371539	0.0567538	0.6103747	0.1390611	0.4454490	0.3089768	0.8207100	0.4335707	0.5273985	0.6070056	0.6908953	0.7466953	0.7730119	0.3524095	0.8844982	0.5163199	0.6909202	0.0431574	0.1090832	0.0954533	0.5940898	0.1726290	0.6868734	0.0277836	0.0589915	0.3350874	0.0971137	0.4393169	0.6804239	0.4662318	0.7458300	0.7839739	0.7010808	0.2587521	0.4926653	0.7158190	0.7327348	0.5436431	0.5779285	0.0119085	0.8054851	0.3763704	0.3364720	0.1711983

0	0.7386800	0.3673377	0.6382916	0.7434289	0.6676629	0.3636713	0.2298017	0.0999429	0.4716342	0.1396877	0.3405565	0.3803598	0.8937412	0.3570795	0.5816771	0.7454894	0.7685387	0.6882280	0.6896565	0.3612084	0.7703021	0.6063647	0.6793278	0.0444220	0.1781742	0.1486926	0.6983245	0.2178928	0.5956667	0.0102316	0.0301052	0.4577818	0.0585548	0.3454504	0.6460473	0.5316501	0.6462380	0.7374397	0.6997226	0.2368510	0.5705072	0.7795073	0.6249730	0.6099825	0.4656813	0.0034413	0.6863545	0.3374249	0.2707285	0.1367201
50	0.3785863	0.4972950	0.5911451	0.6087337	0.7603957	0.7206393	0.0637742	0.0459817	0.4947682	0.0907383	0.2197191	0.3353069	0.6900112	0.4282667	0.4338555	0.7617882	0.7415321	0.6780669	0.7002034	0.3847431	0.7271610	0.7221478	0.7218053	0.0489376	0.1910445	0.0273325	0.3648315	0.1872911	0.7274545	0.1513980	0.0329014	0.4430448	0.0372208	0.4831652	0.6160248	0.3862505	0.6244515	0.8654587	0.7013203	0.3252888	0.5095797	0.6677661	0.6478045	0.4951430	0.6239328	0.0000000	0.7016476	0.2281404	0.4415413	0.1837595
100	0.3851546	0.3818340	0.4663325	0.6915941	0.6108778	0.6903212	0.0717662	0.0832596	0.4743120	0.0971758	0.2653973	0.3615459	0.7353789	0.4563185	0.3079211	0.7131088	0.7156400	0.7656199	0.5889305	0.3283065	0.7120590	0.6400902	0.7341293	0.0418624	0.1836150	0.0076295	0.4214917	0.1917796	0.5966765	0.3549357	0.0240200	0.5228811	0.0055002	0.6398363	0.7158244	0.2604013	0.7027539	0.7556793	0.7072080	0.4307589	0.5487490	0.7126935	0.6635368	0.5217569	0.5248163	0.0003867	0.7330656	0.2732940	0.4230442	0.1445629
150	0.3044750	0.4214869	0.5428673	0.6270359	0.6614955	0.7297406	0.0577926	0.0605058	0.4895407	0.1640059	0.3322537	0.2314729	0.7993179	0.5538385	0.3285610	0.7727433	0.7467028	0.7237824	0.7284916	0.3513677	0.6442809	0.9123342	0.7915421	0.0416573	0.2716959	0.0058307	0.3641835	0.2430637	0.6640693	0.2948541	0.0320391	0.2939714	0.0352086	0.5962648	0.6503641	0.2591777	0.5931188	0.7014071	0.6676941	0.4266531	0.7321713	0.8302322	0.6396361	0.4631695	0.7074223	0.0022092	0.7526281	0.1458571	0.4547186	0.1444185
200	0.2115917	0.4752474	0.5984225	0.6999505	0.6512297	0.6200747	0.0395228	0.0846522	0.4569197	0.1353241	0.3147099	0.3776674	0.6911921	0.4455877	0.3197493	0.8729022	0.6414851	0.7284196	0.8027100	0.4271633	0.7308900	0.6900464	0.7030341	0.0407387	0.1674738	0.0121726	0.2623030	0.1766296	0.5807728	0.3329564	0.0286902	0.3987095	0.0128101	0.6116184	0.8796715	0.2699601	0.8464716	0.7159356	0.6822958	0.4510296	0.6896032	0.7565368	0.6366724	0.3772182	0.6587854	0.0001414	0.7883995	0.2091599	0.3680861	0.1200456
250	0.3295416	0.3896481	0.7513983	0.6352141	0.6599866	0.6841386	0.0334875	0.0626863	0.5401244	0.1091494	0.2488854	0.3662301	0.7393061	0.3948332	0.2562475	0.7248295	0.6975066	0.7116503	0.6907695	0.4260152	0.7450013	0.6799728	0.7022651	0.0704694	0.1461799	0.0042462	0.2724146	0.1990428	0.5125326	0.4189656	0.0306984	0.4712163	0.0263906	0.5938251	0.7414647	0.2127486	0.7382678	0.7949966	0.7674285	0.3883781	0.6592411	0.8275439	0.6639125	0.4413182	0.7234860	0.0005011	0.7260912	0.2135098	0.3708943	0.1376411
300	0.2600651	0.3472035	0.6033885	0.6160162	0.8568480	0.5275286	0.0131444	0.0700323	0.5995847	0.0997786	0.2189745	0.3525128	0.6821247	0.3591528	0.2034219	0.7131323	0.6182990	0.7315933	0.8087888	0.4129399	0.6433834	0.7713943	0.5909165	0.0504623	0.1493606	0.0032512	0.3482463	0.1537315	0.5043479	0.3122733	0.0079374	0.4288358	0.0175433	0.6694690	0.6898416	0.2425780	0.6406977	0.6857187	0.6911665	0.4200151	0.6477374	0.7790923	0.8258815	0.5191483	0.6543515	0.0000515	0.6270283	0.1600868	0.3545485	0.1831635
350	0.2650192	0.3756674	0.8051341	0.7762752	0.7056853	0.8307155	0.0110685	0.0796106	0.5139359	0.1491672	0.2162656	0.3196491	0.9616800	0.4144718	0.2122135	0.6854127	0.6858659	0.6669421	0.7404605	0.3712423	0.6724157	0.6763656	0.6498650	0.0364685	0.1767686	0.0016953	0.2790514	0.1555110	0.5229291	0.3225743	0.0431934	0.4174681	0.0495455	0.5971333	0.6345383	0.2356348	0.6959937	0.6851153	0.6462664	0.4673392	0.5485230	0.7579955	0.6452528	0.4515498	0.6147810	0.0001246	0.7333246	0.2268494	0.3732852	0.2109840
400	0.2955353	0.4592237	0.6128014	0.6574752	0.8298919	0.6211148	0.0440864	0.1068015	0.5186750	0.1991343	0.3178052	0.3307497	0.8206210	0.3766058	0.2086483	0.6638991	0.7322869	0.6702670	0.7644322	0.2728365	0.7680477	0.6978800	0.5266361	0.0332000	0.1764068	0.0027240	0.2157903	0.1833228	0.5914120	0.3690282	0.0236895	0.3872384	0.0104123	0.6085730	0.6716974	0.2363649	0.7675528	0.6134504	0.6301089	0.4552404	0.7377840	0.7271277	0.7249750	0.4824553	0.5798497	0.0008147	0.6321287	0.2155063	0.3400438	0.1627847
450	0.3267516	0.4362969	0.6423410	0.7640154	0.6449292	0.7207144	0.0263735	0.0524102	0.6251461	0.1140297	0.3526121	0.3454636	0.6637526	0.3527883	0.2296707	0.8256870	0.7231252	0.7579544	0.6570663	0.3022528	0.6840339	0.7076603	0.7006138	0.0185699	0.2181941	0.0055493	0.3475066	0.1524831	0.4627765	0.2978813	0.0359379	0.5244311	0.0152158	0.5595128	0.6869014	0.2997771	0.7231542	0.6100759	0.7560037	0.4878753	0.5643346	0.6272454	0.8011221	0.5779266	0.4758680	0.0001468	0.6491924	0.2625437	0.4433642	0.1587569
500	0.3005979	0.5107985	0.6170544	0.6963257	0.7037561	0.6007894	0.0144944	0.0577078	0.4938171	0.0971870	0.2905941	0.4195905	0.7049929	0.3972114	0.2566718	0.6669397	0.6949112	0.7400320	0.7941502	0.2939974	0.6344002	0.6532325	0.6268125	0.0939922	0.1954496	0.0033528	0.2937473	0.1576717	0.5651302	0.3690343	0.0247385	0.4492226	0.0580279	0.5719118	0.7915434	0.2102447	0.6683492	0.7015902	0.7608637	0.5243245	0.7884170	0.7511281	0.7100080	0.5745501	0.6300464	0.0004678	0.6930236	0.1779309	0.4076590	0.2212758
550	0.5206102	0.3743221	0.7150860	0.7395793	0.5612373	0.4958696	0.1038328	0.0521764	0.5114614	0.0847412	0.3963761	0.2665297	0.7774377	0.5016196	0.3011503	0.6714500	0.6258359	0.5631037	0.8144731	0.2741695	0.7580588	0.7424764	0.7171131	0.0300542	0.1824709	0.1320583	0.4319087	0.2088911	0.5577982	0.1496461	0.0232334	0.4173398	0.0560612	0.3162548	0.7123788	0.3677345	0.6640422	0.6677462	0.8486595	0.3851470	0.5040641	0.6026624	0.6586854	0.5233161	0.4072871	0.0043154	0.5940802	0.4335059	0.3936989	0.1909516
600	0.6272741	0.5047549	0.6428791	0.6679562	0.6936129	0.4171613	0.1363896	0.0760834	0.4578506	0.0843762	0.3512845	0.3645492	0.7392031	0.4563856	0.3120911	0.6816467	0.6547972	0.6600741	0.7018772	0.3640952	0.9158578	0.5553039	0.7544982	0.0235009	0.1291953	0.1297895	0.5726732	0.2153684	0.6631246	0.0745218	0.0279692	0.4733774	0.1329707	0.3993693	0.7310669	0.5679951	0.7444702	0.6513486	0.7613467	0.2981257	0.4368328	0.6652099	0.7171139	0.4295359	0.4383014	0.0032901	0.6898755	0.3700534	0.4331841	0.1678339
650	0.7430602	0.5245726	0.7055736	0.7262232	0.6961570	0.3613487	0.1126187	0.0456414	0.5162172	0.0757888	0.2923865	0.2574926	0.8565321	0.5304500	0.4686593	0.6503870	0.6666741	0.6170734	0.6453806	0.3163004	0.7296818	0.5341109	0.6769898	0.0443939	0.1756814	0.1126662	0.5550666	0.1979475	0.7592924	0.0388574	0.0603698	0.4731121	0.0695861	0.3085658	0.6355636	0.4195863	0.6193865	0.6442090	0.6260298	0.2906338	0.5565706	0.7227128	0.8661388	0.4314911	0.4538738	0.0067594	0.6026055	0.3609339	0.5273701	0.1910440
700	0.6202358	0.4586594	0.6254728	0.7021575	0.7140406	0.3296789	0.1109931	0.0364064	0.4623407	0.1196030	0.3882664	0.3611937	0.7070304	0.4624737	0.4796881	0.6271212	0.7383873	0.7441371	0.6818346	0.3284868	0.7483322	0.7215504	0.6810004	0.0426541	0.2081928	0.0974535	0.5720703	0.2070871	0.6496070	0.0282642	0.0528773	0.4753754	0.0797841	0.3431264	0.7816867	0.5037455	0.6870158	0.6390402	0.6705471	0.2158617	0.4714948	0.6236032	0.7066900	0.4640394	0.4781775	0.0068268	0.6161288	0.4559579	0.4224926	0.1944218
750	0.6243444	0.3844817	0.6322426	0.6741755	0.7110695	0.3861739	0.1074303	0.0723580	0.5334384	0.0787132	0.3396341	0.3797496	0.6506825	0.4564707	0.5161511	0.6414148	0.8500899	0.6989899	0.7632916	0.2364818	0.7168779	0.5996094	0.6651572	0.0612304	0.1582893	0.1189630	0.6227800	0.1330759	0.5745097	0.0190245	0.0399992	0.4104521	0.0957113	0.3772155	0.7445155	0.5582533	0.6936599	0.7708168	0.5656122	0.1772093	0.4863238	0.6750636	0.6902724	0.4885035	0.5090569	0.0040907	0.7375928	0.2814242	0.3219204	0.1836923
800	0.8265866	0.5500016	0.6230265	0.8425399	0.6591635	0.3804561	0.1394479	0.0688591	0.5738701	0.0517005	0.4317823	0.3216790	0.6672803	0.4688884	0.4813446	0.6922305	0.6727919	0.8191138	0.6461064	0.3201987	0.6972153	0.5659825	0.7791084	0.0463999	0.2453506	0.1546019	0.7320318	0.2055240	0.7262128	0.0138713	0.0343170	0.4626916	0.1074607	0.4006364	0.7601246	0.6345693	0.7966341	0.6328530	0.6055579	0.2406216	0.5268541	0.7634367	0.6329286	0.4942039	0.3784026	0.0067341	0.6675520	0.3288832	0.3312648	0.1535105
850	0.8025258	0.4911544	0.5611369	0.6759268	0.6419979	0.5087549	0.1485911	0.0490196	0.5905609	0.1525399	0.4191735	0.3662836	0.5862956	0.4196554	0.3667716	0.5639732	0.6722309	0.6981593	0.6132749	0.3338708	0.6678301	0.6357911	0.7126758	0.0219744	0.1402068	0.0925080	0.6932413	0.2381628	0.5965251	0.0114326	0.0288194	0.3526132	0.0378042	0.3800757	0.6488257	0.4423050	0.7196500	0.6906835	0.7602483	0.2010560	0.6236295	0.6654690	0.5420404	0.4200188	0.3690209	0.0058243	0.7104464	0.3374197	0.3991930	0.2010425
900	0.6748083	0.4295129	0.6975701	0.6039167	0.7426769	0.4436773	0.1666772	0.0827943	0.6184383	0.1085784	0.3695541	0.4188162	0.7333249	0.4397944	0.5203873	0.4931956	0.7520841	0.7327871	0.7012465	0.4816861	0.6882771	0.5893347	0.8214458	0.0210622	0.1054393	0.1119597	0.5275362	0.1703158	0.7807884	0.0293656	0.0453459	0.4393370	0.0767343	0.4625529	0.6664290	0.4355785	0.7333241	0.5700767	0.7760655	0.2245533	0.4306763	0.6901589	0.5684922	0.4559421	0.4349518	0.0103738	0.7613483	0.3404943	0.3468358	0.1796793
950	0.6942939	0.5538302	0.7231735	0.7016090	0.7148365	0.3752718	0.1341259	0.0544031	0.4659288	0.1356183	0.3035415	0.3099587	0.7417127	0.4809702	0.4776935	0.5940051	0.6109171	0.7738650	0.7572631	0.3287175	0.7362950	0.6916663	0.6407457	0.0227664	0.1510239	0.1228498	0.6460430	0.1922084	0.8221101	0.0157922	0.0132555	0.4035977	0.1075248	0.3978708	0.7398052	0.4871579	0.7282062	0.7312323	0.8707879	0.2101673	0.5790006	0.7757515	0.6224479	0.4838501	0.4438571	0.0056531	0.7380130	0.4166741	0.4275236	0.1819005
1000	0.6585576	0.5217566	0.5581486	0.5770986	0.6998092	0.3697805	0.1669173	0.0516992	0.4813141	0.1325660	0.3898721	0.3726402	0.6764191	0.4501287	0.4181637	0.6571799	0.6899477	0.7812391	0.6363629	0.3392065	0.6525250	0.7350298	0.7604794	0.0425346	0.2033527	0.1289963	0.6157062	0.2632355	0.6543302	0.0157779	0.0243483	0.3925398	0.0677775	0.5113926	0.6534400	0.5221909	0.6567106	0.7237649	0.7325209	0.2460852	0.6084338	0.8537704	0.6554821	0.5349283	0.5188808	0.0098398	0.6669344	0.3130989	0.3366331	0.1268761

0	0.8088356	0.3700995	0.6029557	0.6467103	0.7176935	0.3079782	0.1453504	0.1051443	0.5320188	0.1616821	0.3525787	0.3761900	0.6783597	0.3440717	0.5694741	0.8296959	0.8515419	0.7008378	0.6518140	0.2805988	0.7392398	0.6727109	0.7495133	0.0380180	0.1889584	0.1158382	0.6824252	0.2426036	0.6600879	0.0086970	0.0157526	0.4428659	0.0847212	0.4061692	0.6872778	0.4664381	0.6926909	0.7184300	0.7128712	0.2219658	0.6487357	0.7044639	0.5491457	0.5550078	0.3682170	0.0102798	0.6515764	0.3308139	0.3093227	0.1908430
50	0.7740644	0.4997152	0.6073357	0.7414278	0.7602934	0.4145060	0.0881220	0.0029129	0.6411539	0.1013833	0.3563481	0.3963576	0.6520480	0.3985987	0.5875032	0.6100403	0.5834074	0.8511141	0.7406654	0.3136610	0.7536899	0.6362810	0.7195151	0.0081204	0.3092237	0.0693067	0.5976248	0.1847034	0.6471385	0.0152032	0.0385206	0.4539139	0.0219267	0.4976019	0.6681117	0.3742447	0.7245017	0.7217564	0.7675322	0.4050353	0.5511208	0.6804979	0.6841102	0.4050717	0.4703079	0.0118143	0.7959792	0.1256359	0.1331652	0.0991185
100	0.6341851	0.4482578	0.6120199	0.6952655	0.7564221	0.3604721	0.0866636	0.0036136	0.6759454	0.1092400	0.3423968	0.3317007	0.7396726	0.5243477	0.5042532	0.8201686	0.6464043	0.7273436	0.6423495	0.3204772	0.6934448	0.7038040	0.7110377	0.0068587	0.3578909	0.1379333	0.7044452	0.1800307	0.6561163	0.0150292	0.0465503	0.4162243	0.0298186	0.4245239	0.8447428	0.4217595	0.7716468	0.7289140	0.7415602	0.4329653	0.4716649	0.7037607	0.6723960	0.4554364	0.4279540	0.0020261	0.7035137	0.0481398	0.1370607	0.0766817
