"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100	G101	G102	G103	G104	G105	G106	G107	G108	G109	G110	G111	G112	G113	G114	G115	G116	G117	G118	G119	G120	G121	G122	G123	G124	G125	G126	G127	G128	G129	G130	G131	G132	G133	G134	G135	G136	G137	G138	G139	G140	G141	G142	G143	G144	G145	G146	G147	G148	G149	G150	G151	G152	G153	G154	G155	G156	G157	G158	G159	G160	G161	G162	G163	G164	G165	G166	G167	G168	G169	G170	G171	G172	G173	G174	G175	G176	G177	G178	G179	G180	G181	G182	G183	G184	G185	G186	G187	G188	G189	G190	G191	G192	G193	G194	G195	G196	G197	G198	G199	G200
100	0.4489594	0.2015775	0.2216285	0.4901164	0.5347157	0.3321656	0.6334449	0.1062447	0.5390506	0.1360975	0.0835378	0.6186503	0.3244308	0.5427240	0.0050611	0.6235878	0.6429989	0.4945911	0.6807324	0.4834863	0.1846371	0.5465248	0.7897587	0.6086277	0.4788334	0.5176380	0.1713242	0.4574052	0.6964883	0.2018534	0.5846458	0.1819896	0.5080507	0.1132420	0.6600254	0.4153496	0.8274430	0.5088200	0.1803855	0.2738209	0.6607866	0.7429150	0.3495425	0.1902772	0.0122306	0.2055691	0.3972790	0.6428583	0.6583663	0.1007657	0.3431537	0.5678503	0.5938554	0.0276028	0.4614600	0.3153775	0.6327281	0.5865675	0.6652221	0.6910568	0.0857843	0.0836998	0.5850049	0.6018058	0.5705973	0.3619448	0.6005541	0.1778621	0.1087959	0.5128730	0.0261640	0.7514043	0.3111072	0.8453668	0.0189855	0.4679624	0.1586753	0.7044562	0.0563858	0.0776235	0.4913581	0.6085683	0.3723304	0.6117063	0.0556316	0.6750928	0.6601428	0.2037031	0.4387056	0.1556891	0.6995116	0.1257885	0.4148335	0.8001393	0.0778205	0.2615479	0.5987957	0.1285287	0.3266656	0.2750669	0.0222631	0.0974922	0.6161940	0.3522538	0.4332715	0.1603542	0.2933469	0.0010939	0.1499725	0.6506189	0.4080754	0.7597346	0.3934569	0.3200269	0.7079484	0.0024016	0.6408875	0.2803916	0.0597390	0.5204764	0.6472878	0.0143240	0.2850539	0.6411937	0.1067608	0.4096775	0.0085883	0.3647975	0.6483149	0.1468967	0.1644975	0.3980653	0.1204703	0.1227283	0.2235570	0.6098585	0.1078884	0.6653802	0.6401185	0.8119196	0.1128816	0.6258832	0.0587274	0.0515662	0.2191848	0.2531177	0.2918199	0.1008566	0.7440433	0.6329404	0.4440667	0.6428539	0.5786820	0.2601482	0.3237847	0.6315759	0.5853525	0.5105794	0.7064012	0.0299512	0.1931140	0.2507332	0.3456922	0.6348055	0.3315626	0.3002393	0.0174841	0.2841990	0.3437781	0.0615805	0.3013132	0.4312118	0.2691925	0.6690888	0.2505715	0.6230450	0.6459972	0.0312437	0.2158387	0.0222209	0.4869001	0.2310863	0.3997313	0.5710735	0.1846146	0.7212757	0.0743530	0.4800364	0.1290310	0.1283523	0.8253192	0.0076058	0.2651318	0.1754416	0.7053541	0.6475770	0.3656373	0.2326863	0.0406371	0.2848856
150	0.2525852	0.1383776	0.1945507	0.3521417	0.4927784	0.5049152	0.5931118	0.3685116	0.6540670	0.1330445	0.0879452	0.5531987	0.3450145	0.5703328	0.0051305	0.5174589	0.6449755	0.4556133	0.6992239	0.4271734	0.0988260	0.5364146	0.6277283	0.6351331	0.3820990	0.4690824	0.2098776	0.4502297	0.3907521	0.1208944	0.5132502	0.3231848	0.5745367	0.1012377	0.6037803	0.6759542	0.8386999	0.6666821	0.0796880	0.3354158	0.6481720	0.6904535	0.2809460	0.1857942	0.0605423	0.2212986	0.3032282	0.6195679	0.7038488	0.0469339	0.1924573	0.6049883	0.6922987	0.0012817	0.4506312	0.3651804	0.5358196	0.5394131	0.6774118	0.6194593	0.1593085	0.3163313	0.7856067	0.6667132	0.5538462	0.3844095	0.6226918	0.3360549	0.1063433	0.4634739	0.0687983	0.7093804	0.2465319	0.6278641	0.0496868	0.4767050	0.0877866	0.7762048	0.0310038	0.0603302	0.6468865	0.5266833	0.2874396	0.7597512	0.0836523	0.7344739	0.7355222	0.3206126	0.2645396	0.0336238	0.6472148	0.1343348	0.4268009	0.5712005	0.1709897	0.1733554	0.6738837	0.1394267	0.4135340	0.2501013	0.0109607	0.2036123	0.6632689	0.5464386	0.4975589	0.2819593	0.2657974	0.0039114	0.1268055	0.5735516	0.3245176	0.7443260	0.4467761	0.2302357	0.7506859	0.0059291	0.5765804	0.1881175	0.0619665	0.5005322	0.5832489	0.0673644	0.1096736	0.7196457	0.0805729	0.3617413	0.0150747	0.2912445	0.7728321	0.0620759	0.0547924	0.2596583	0.1371004	0.1355318	0.2343640	0.5816393	0.0849553	0.6572896	0.6885062	0.6166774	0.1103455	0.6574691	0.1010117	0.1603159	0.2761751	0.3205023	0.3047586	0.0752857	0.6558756	0.6191563	0.4873782	0.5872653	0.6389763	0.2832018	0.2790819	0.6095929	0.5117465	0.5343839	0.5082274	0.0515138	0.1697684	0.2427410	0.2739605	0.6880768	0.3490161	0.4078736	0.0190097	0.2945767	0.4094249	0.0478546	0.3465161	0.6345089	0.1559946	0.6874303	0.2947420	0.6433713	0.5553299	0.1470227	0.3610880	0.0033189	0.5449311	0.1583844	0.4378184	0.5367264	0.2438436	0.6369484	0.0883586	0.5027505	0.0731516	0.1209888	0.6254077	0.0231884	0.1909852	0.1947660	0.6560605	0.7246259	0.4439936	0.2517863	0.0546420	0.2065929
200	0.1088768	0.0746639	0.1121800	0.4026492	0.3141856	0.4406971	0.5933164	0.3537370	0.4409988	0.2317345	0.1174231	0.5640650	0.2459555	0.5294902	0.0088868	0.2850643	0.4985740	0.5160500	0.6458856	0.4740711	0.0561214	0.5812242	0.7293249	0.6269004	0.2016728	0.5092385	0.2108525	0.5163903	0.2464536	0.0252799	0.3554098	0.3025071	0.5708953	0.0546970	0.6045328	0.5939654	0.7302307	0.6378900	0.0214542	0.1632087	0.6957639	0.4542601	0.1947920	0.1238728	0.0728714	0.1736983	0.3058656	0.4741614	0.5670122	0.0652970	0.1028128	0.6116838	0.6031672	0.0059182	0.4512572	0.3384803	0.5018735	0.5458084	0.6389186	0.6155313	0.2480350	0.3804787	0.6886227	0.6482613	0.5658868	0.4645408	0.6047023	0.5202441	0.1047887	0.4639872	0.1214941	0.6266227	0.2149105	0.6863169	0.1530551	0.5318127	0.0404623	0.6962810	0.0491547	0.0338132	0.5821626	0.5389472	0.2977880	0.5671722	0.2868870	0.6235818	0.2826865	0.2934538	0.0803365	0.0091651	0.7743092	0.0984480	0.5812000	0.4394711	0.3345983	0.1865813	0.6653126	0.1482192	0.4481404	0.2963630	0.0067872	0.5004959	0.6521968	0.3875594	0.5416168	0.2862674	0.2101743	0.0062287	0.0891151	0.2896092	0.2415508	0.7061886	0.5023471	0.1820273	0.7083998	0.0000000	0.6757108	0.0508101	0.0914459	0.4870869	0.6028771	0.0376924	0.0696988	0.7441537	0.1000763	0.4664475	0.0113217	0.2205499	0.6516081	0.0412104	0.0484441	0.1698125	0.1211977	0.1702578	0.2807783	0.6256828	0.1211908	0.7248236	0.6877832	0.6687080	0.1286699	0.7049424	0.0625708	0.0516505	0.3510699	0.3271703	0.3448079	0.1055791	0.6901477	0.4614013	0.5526640	0.6926790	0.4458018	0.3156774	0.3624240	0.7638513	0.6046692	0.4749020	0.3050168	0.0343369	0.1843702	0.0936823	0.3006297	0.8200466	0.3313885	0.2704162	0.0109099	0.1938695	0.3511288	0.0428174	0.2061159	0.8182366	0.0846978	0.6363448	0.5168284	0.5851830	0.6935324	0.5107807	0.3221458	0.0120948	0.4464156	0.2051111	0.3167784	0.5089847	0.3661542	0.7182575	0.1488464	0.4127024	0.0790479	0.1233144	0.6866662	0.0269110	0.2565764	0.1056576	0.7525826	0.7143550	0.4707882	0.2370133	0.0367721	0.1644346
250	0.0603807	0.0878345	0.0337239	0.3436074	0.2178748	0.4819275	0.5487209	0.5231526	0.3841802	0.3865111	0.1940836	0.4253773	0.2500748	0.4850934	0.0278913	0.0913815	0.6370796	0.3457877	0.5960184	0.4188191	0.0644343	0.5473903	0.7064983	0.7761462	0.2263294	0.3998350	0.3107334	0.5083924	0.0850957	0.0130709	0.4281384	0.3454832	0.5780524	0.0253656	0.6632439	0.5495412	0.7324554	0.6624152	0.0103909	0.2870066	0.6095628	0.2998753	0.2327314	0.0643632	0.0972659	0.1526770	0.3054577	0.5943414	0.2438198	0.0407130	0.0605039	0.7597042	0.5641736	0.0063703	0.4598295	0.3108363	0.3594763	0.5881576	0.5940323	0.5052666	0.1992288	0.4503057	0.5467549	0.6958886	0.5879105	0.5266636	0.7577314	0.4596118	0.0935370	0.4569812	0.0997528	0.7121305	0.1958981	0.7753415	0.2304670	0.4657631	0.0170509	0.6568501	0.0389713	0.0208751	0.5673425	0.5062184	0.1835831	0.7753806	0.5543442	0.5476936	0.0935685	0.3748499	0.0361551	0.0119415	0.7420101	0.1074032	0.5581203	0.3783528	0.4752303	0.1419961	0.7199107	0.2605399	0.4083990	0.1952316	0.0051547	0.4211463	0.7375467	0.4812036	0.5702291	0.3102874	0.2037598	0.0063608	0.0966405	0.2799444	0.3094189	0.6712939	0.6495665	0.1138419	0.7596219	0.0000454	0.6328090	0.0586072	0.1258959	0.5397373	0.4094707	0.0144730	0.0508693	0.8472114	0.0967301	0.4528342	0.0167501	0.2204849	0.6346543	0.0370763	0.0916565	0.1312502	0.1655077	0.1315771	0.1670883	0.4849069	0.0995536	0.7384285	0.6837609	0.6268887	0.2168233	0.4775373	0.0620254	0.0216894	0.2648771	0.4014514	0.3430059	0.1113258	0.7176065	0.4073744	0.4072550	0.6376689	0.4118102	0.2409868	0.3850644	0.6102398	0.6719637	0.6265279	0.3568155	0.0390877	0.2692336	0.1025815	0.2951856	0.7513213	0.4876620	0.2515455	0.0331039	0.2361715	0.2749464	0.0486302	0.2095449	0.8984218	0.0714024	0.6672633	0.6445593	0.7554025	0.7183183	0.6178060	0.3502497	0.0019094	0.4323289	0.2616140	0.3653841	0.5809895	0.3110947	0.7952262	0.1428100	0.3230809	0.0746663	0.1453494	0.6293577	0.0539215	0.2028154	0.1779843	0.7049256	0.6637427	0.4326493	0.2570562	0.0527201	0.1581722
300	0.0545808	0.0884961	0.0549398	0.2937358	0.1305847	0.4919842	0.4773441	0.4813225	0.4050745	0.3715836	0.2344417	0.4853048	0.2849353	0.3817570	0.0838238	0.0721613	0.5001994	0.3516836	0.6213697	0.4427619	0.0682951	0.6830344	0.7526493	0.7386763	0.1554570	0.3266835	0.2683488	0.6306655	0.0705463	0.0100157	0.3676648	0.3617733	0.6207517	0.0178326	0.6973850	0.6031333	0.6591215	0.5926182	0.0024986	0.1995322	0.6072083	0.3888485	0.2461462	0.0534874	0.0597080	0.2249060	0.2873156	0.7157114	0.0927657	0.0191001	0.0342445	0.5919853	0.4831884	0.0194602	0.6309464	0.4177131	0.3078657	0.5427506	0.6973227	0.4359253	0.2267550	0.4813692	0.4652372	0.6200438	0.4476207	0.5820670	0.6323527	0.5158747	0.1633244	0.5785115	0.1199222	0.7221854	0.2253356	0.5583938	0.2578264	0.5420406	0.0057879	0.7794016	0.0853300	0.0170222	0.7084978	0.6572591	0.2027098	0.7364748	0.6477504	0.4351293	0.0956066	0.4002340	0.0185505	0.0094756	0.6623371	0.0627331	0.5023519	0.3353182	0.4369208	0.1284116	0.7111248	0.1133775	0.5170919	0.2021235	0.0034154	0.5560662	0.6817548	0.3177046	0.5996179	0.5740148	0.2562273	0.0129242	0.1228539	0.1563319	0.3113558	0.7579401	0.6958993	0.0944182	0.7444172	0.0001089	0.5312165	0.0338300	0.1461698	0.6063548	0.4459961	0.0166304	0.0824598	0.6717281	0.0752419	0.3613538	0.0144285	0.2147513	0.6951348	0.0318685	0.1207682	0.0501592	0.1160165	0.1607703	0.2181472	0.5589971	0.1021357	0.5547122	0.6855237	0.8151032	0.1858051	0.4886460	0.0552630	0.0195798	0.2369546	0.3692531	0.3699130	0.0794930	0.7108849	0.3958113	0.3770008	0.6283089	0.3218782	0.2876323	0.4019814	0.7914867	0.6521244	0.4810168	0.1734077	0.0268264	0.1644891	0.0809095	0.3495566	0.6143476	0.3283189	0.3077894	0.0226397	0.2622037	0.4404995	0.0420995	0.3162519	0.7895402	0.0490474	0.6885266	0.5824410	0.6145909	0.6180055	0.6389482	0.3633194	0.0036278	0.4633728	0.2807920	0.3571433	0.5932613	0.3270147	0.5956100	0.1884608	0.3802479	0.0797642	0.1361309	0.7703901	0.0954430	0.2153810	0.1749491	0.7408194	0.6373488	0.5011960	0.3476541	0.0496661	0.1328932
350	0.0476553	0.0857920	0.0159206	0.3066234	0.1250098	0.5188861	0.5878757	0.5929772	0.2856025	0.5153543	0.2828725	0.4645471	0.2356718	0.3674667	0.1202254	0.0193612	0.5452343	0.3296291	0.5993644	0.3842617	0.0434343	0.6998940	0.6994970	0.7662735	0.1504650	0.3791285	0.3435645	0.5445630	0.0389095	0.0102357	0.3077863	0.4375223	0.8348817	0.0147957	0.6151628	0.6145672	0.6685476	0.5703269	0.0008124	0.2464303	0.7894781	0.3235336	0.3682405	0.0597852	0.0703089	0.1741435	0.2254189	0.7069332	0.0527850	0.0311844	0.0033065	0.7900674	0.4614846	0.0019796	0.5721406	0.4393074	0.2721601	0.6378322	0.6750114	0.5504304	0.4032056	0.4816704	0.5177171	0.6893972	0.6366813	0.5554607	0.6887967	0.6261867	0.0829010	0.4497943	0.1083816	0.7296788	0.2051107	0.7452308	0.2064202	0.6513680	0.0073051	0.7172810	0.0877487	0.0134455	0.7067944	0.5722481	0.2884364	0.6447531	0.6510446	0.3161192	0.0552762	0.4403055	0.0211863	0.0356069	0.6515339	0.1239410	0.4393879	0.5232456	0.5124655	0.1067187	0.5798312	0.1338474	0.4147309	0.1261946	0.0088859	0.5762673	0.6416471	0.3056404	0.5649001	0.5070910	0.2058383	0.0108116	0.1719751	0.1306460	0.4731981	0.7252847	0.6028608	0.0738329	0.6038956	0.0009824	0.7050159	0.0331525	0.1955927	0.6345832	0.5837072	0.0383837	0.0823180	0.5700209	0.0622352	0.4378882	0.0394649	0.2075352	0.6932439	0.0411648	0.1243067	0.0368784	0.1372863	0.1405086	0.1899900	0.5929054	0.1343811	0.6088321	0.6547301	0.8337028	0.1340639	0.5564808	0.0605713	0.0664621	0.1950408	0.3670708	0.2493021	0.0702858	0.6393465	0.3724224	0.3759287	0.5338783	0.2702441	0.3396383	0.4403542	0.7020795	0.7815051	0.4531514	0.1831867	0.0806039	0.1715402	0.1342007	0.3443029	0.6301017	0.3399681	0.3319799	0.0212761	0.2034267	0.3673368	0.0506657	0.2431301	0.6684007	0.0389281	0.5959962	0.6331745	0.6350443	0.5516546	0.7138606	0.4896698	0.0012336	0.5733012	0.2592879	0.3851248	0.5213155	0.2887733	0.7266564	0.1449948	0.4443314	0.0335337	0.1219621	0.5524886	0.1033631	0.3078011	0.1073529	0.6602188	0.7075810	0.4990279	0.3059863	0.0295088	0.1344477
400	0.0468558	0.1075564	0.0160403	0.3325976	0.1630996	0.4970771	0.5547789	0.5239148	0.3236610	0.4427413	0.2011383	0.4865284	0.2261091	0.3555358	0.1472996	0.0127889	0.5111838	0.3571264	0.6176225	0.5041774	0.0545258	0.7137944	0.6651570	0.7842142	0.1398496	0.5054335	0.3025784	0.6258597	0.0315478	0.0050482	0.3687837	0.2553550	0.6543737	0.0016459	0.5619202	0.5011293	0.5822186	0.6079649	0.0108822	0.2716550	0.6839143	0.3457911	0.2450478	0.0372142	0.0676616	0.2142166	0.2071462	0.6744257	0.0659872	0.0217794	0.0157827	0.6126823	0.3564332	0.0122731	0.6231554	0.3309092	0.3146048	0.5164691	0.6302545	0.4098087	0.2725947	0.4806047	0.5115371	0.5670479	0.5115752	0.6113729	0.6757860	0.5635910	0.1097314	0.5020457	0.1343158	0.7163790	0.1304453	0.8365098	0.3209617	0.6381266	0.0111281	0.7038708	0.0429884	0.0105522	0.5351880	0.5850958	0.2894999	0.6215790	0.6301411	0.2658597	0.0344351	0.3771482	0.0205868	0.0324984	0.5637986	0.0860544	0.5194140	0.4211402	0.4846054	0.1335484	0.5993798	0.1059425	0.6489766	0.1712429	0.0011153	0.5997800	0.6461742	0.3029339	0.6563641	0.5328262	0.2060048	0.0045147	0.1738198	0.1154985	0.3095944	0.7174102	0.6835614	0.0883261	0.7401549	0.0000892	0.6575032	0.0236381	0.1664001	0.7474400	0.5605982	0.0270794	0.0905184	0.7346746	0.1157019	0.4174837	0.0263146	0.2280769	0.6071182	0.0393282	0.0757439	0.0298860	0.0988374	0.0727747	0.2102980	0.4657547	0.1321047	0.6842729	0.7176181	0.8515203	0.1262026	0.5082853	0.0795647	0.0312247	0.2479977	0.3624982	0.2830205	0.0675983	0.7588087	0.3610231	0.5101436	0.6048955	0.3302331	0.2821158	0.2919370	0.7284419	0.6134679	0.6096818	0.1642062	0.0332923	0.1674477	0.1236743	0.3901584	0.6648718	0.4059064	0.3223553	0.0129252	0.2375495	0.3474973	0.0428501	0.2519737	0.7275418	0.0464851	0.5845141	0.5360871	0.7116525	0.5742283	0.6487289	0.4822967	0.0019730	0.5353111	0.2423275	0.2967296	0.6297362	0.2936143	0.7246328	0.1428308	0.3317423	0.0452694	0.0795323	0.7236108	0.0697598	0.2064534	0.1485354	0.6378764	0.7379737	0.4540914	0.3599701	0.0349085	0.1436134
450	0.0650739	0.0672954	0.0159002	0.4208375	0.2004683	0.4007813	0.5134540	0.4828405	0.4550643	0.5234235	0.2008535	0.3642588	0.2456228	0.3601576	0.2514698	0.0095491	0.5400990	0.2561626	0.6143006	0.4680631	0.0623407	0.6190782	0.6851681	0.6055098	0.0829161	0.4586472	0.2942910	0.8197235	0.0296589	0.0043653	0.4085169	0.3860793	0.7396029	0.0100367	0.5480428	0.4485141	0.7839149	0.5618723	0.0029639	0.2412738	0.7196820	0.3663860	0.1575429	0.0508815	0.0569839	0.2015485	0.2743994	0.7002992	0.0380262	0.0416268	0.0039053	0.7026002	0.2870761	0.0049816	0.6539455	0.4304105	0.2640936	0.6094990	0.5570684	0.3801396	0.2190309	0.3504310	0.3905481	0.8837658	0.4665688	0.5920379	0.6336924	0.5422286	0.1041922	0.4463519	0.0982938	0.6291978	0.1466458	0.7078539	0.2032402	0.7256003	0.0187196	0.7284182	0.0225839	0.0112216	0.7720982	0.6096315	0.3082707	0.7168529	0.5696889	0.3061750	0.0996123	0.4245972	0.0225451	0.0539704	0.7582818	0.1262730	0.4247893	0.4550769	0.4716995	0.1674097	0.7260793	0.1843485	0.4623669	0.1378375	0.0028202	0.6255946	0.6040194	0.3075985	0.5675801	0.5431323	0.2550201	0.0097570	0.1171989	0.2047885	0.3763663	0.5881348	0.6738819	0.0805616	0.7315585	0.0000029	0.5383103	0.0318276	0.2874582	0.6716731	0.5208075	0.0415976	0.1332175	0.7895684	0.0808388	0.3548115	0.0221319	0.2311937	0.7857213	0.0627074	0.0903908	0.0612697	0.1597723	0.1461548	0.2202751	0.5032956	0.1016132	0.5928482	0.6944633	0.7373189	0.1904493	0.4870946	0.0604106	0.0391172	0.3135686	0.3840681	0.4493690	0.1002149	0.6835902	0.2591094	0.4236295	0.6623655	0.2898644	0.3507522	0.2730572	0.5289973	0.6461907	0.5189374	0.2284988	0.0392775	0.1554125	0.2012176	0.2823706	0.6703030	0.4050852	0.3505243	0.0362552	0.2739330	0.3342211	0.0502143	0.2629202	0.6045951	0.0242110	0.5784009	0.6740656	0.7470545	0.5936324	0.6261223	0.3559481	0.0007873	0.4898543	0.1428366	0.3430245	0.6249434	0.3075690	0.7406388	0.1386594	0.4026517	0.0466648	0.0694192	0.5688395	0.1170355	0.2560818	0.1264850	0.6487732	0.6379841	0.5725596	0.3586328	0.0376233	0.1093544
500	0.0305887	0.0528665	0.0191395	0.3751800	0.1588245	0.5520420	0.5728498	0.4944441	0.2967623	0.4926665	0.2684663	0.4431351	0.2789697	0.2769619	0.1392837	0.0032888	0.6177551	0.2086217	0.4467214	0.4121138	0.0499047	0.7978596	0.5894894	0.7214870	0.0926171	0.4336776	0.3578019	0.5678201	0.0473440	0.0128210	0.3185109	0.3636809	0.6737494	0.0237271	0.6755839	0.6222117	0.6446767	0.6581849	0.0052800	0.2780501	0.6527126	0.4483579	0.2246718	0.0411123	0.0870098	0.2074053	0.2539834	0.7823558	0.0295476	0.0174964	0.0031659	0.6542861	0.3230502	0.0183333	0.5915660	0.4222433	0.2867971	0.6210934	0.5676666	0.3029003	0.3332015	0.4504616	0.4861597	0.6405471	0.5239531	0.6455951	0.7302505	0.5326275	0.1277032	0.4810561	0.1334992	0.6320799	0.1845277	0.7717846	0.3392044	0.6085996	0.0096128	0.8288436	0.0446921	0.0708118	0.6096128	0.5318271	0.3294161	0.6237003	0.6503004	0.2483007	0.0279946	0.4444435	0.0211671	0.0084759	0.6543489	0.1006523	0.5718222	0.2682107	0.5316054	0.1062269	0.6660005	0.1737737	0.4721908	0.1735239	0.0047292	0.6088201	0.8290636	0.4384740	0.5567313	0.5751470	0.3049542	0.0040125	0.1267407	0.1401976	0.3176449	0.7064516	0.6288922	0.0913823	0.6395405	0.0001892	0.6189822	0.0220524	0.2584736	0.6303727	0.6100797	0.0281201	0.0663577	0.6464191	0.0815148	0.4354767	0.0248462	0.2713419	0.8242828	0.0168494	0.0808213	0.0284266	0.0714928	0.1363764	0.1914698	0.5249873	0.1231307	0.6683190	0.7407845	0.6423457	0.1637075	0.4200513	0.0919436	0.0490368	0.2385792	0.3842496	0.3589908	0.0919706	0.7086895	0.1818195	0.3939945	0.6000951	0.2575079	0.3338210	0.3366817	0.7432259	0.7132635	0.6065470	0.1428819	0.0376792	0.1519430	0.1666156	0.3032209	0.8415090	0.3563343	0.2474523	0.0195081	0.2406640	0.3839242	0.0421078	0.3680532	0.6079120	0.0430008	0.7605176	0.6301717	0.6956187	0.7130003	0.6572353	0.4028443	0.0024426	0.5335913	0.2068604	0.4136215	0.6630041	0.3761186	0.6441512	0.1396476	0.4057897	0.0433433	0.1084222	0.7483126	0.0932914	0.1312019	0.1358737	0.6185336	0.5709240	0.5458497	0.2825908	0.0393972	0.1068327
550	0.1728522	0.4353400	0.0467329	0.4883313	0.3048996	0.5663492	0.4353855	0.6130458	0.2154805	0.5483689	0.1981202	0.5262876	0.4697141	0.3581277	0.1650234	0.0568057	0.5583566	0.3886847	0.4285170	0.4901562	0.0431026	0.5169085	0.5159932	0.5941704	0.0629324	0.4533748	0.2652303	0.4904994	0.0294947	0.1119106	0.3748232	0.3836837	0.6211846	0.0088970	0.2411268	0.5942796	0.7003448	0.4108622	0.0027513	0.2238705	0.7391773	0.3688439	0.2522255	0.0491932	0.3945596	0.2233613	0.2900731	0.7444324	0.0461360	0.1661111	0.0241948	0.6836348	0.3106574	0.0112035	0.5862342	0.4601247	0.4170449	0.4588496	0.5869213	0.4267256	0.4716131	0.4568774	0.3606280	0.7361680	0.6410989	0.6109891	0.4429773	0.4635739	0.2066833	0.4295659	0.2633722	0.7024651	0.2822592	0.7233215	0.2857754	0.7251706	0.0469508	0.6584458	0.0482097	0.2172775	0.6125503	0.5671109	0.0503403	0.8074415	0.6823360	0.1786453	0.2793689	0.4201945	0.0326699	0.0111496	0.6530132	0.2636674	0.6047016	0.3657432	0.5627413	0.2184209	0.5691944	0.1601196	0.3556543	0.1646065	0.0080440	0.2714093	0.7378362	0.3987179	0.5277232	0.4283187	0.2870777	0.0197890	0.1738202	0.2625721	0.3123508	0.7330283	0.6312346	0.0717292	0.5750071	0.0051835	0.5381071	0.0388724	0.3835602	0.6837414	0.3616589	0.0145339	0.1101937	0.8400847	0.1276110	0.3798964	0.0196097	0.2379748	0.6667677	0.2492070	0.1219400	0.1094928	0.0998061	0.4231136	0.2116823	0.5811900	0.1191683	0.5901786	0.6444069	0.6872262	0.1567394	0.3594870	0.4161552	0.0882185	0.1858393	0.4318729	0.3666824	0.0992357	0.6186177	0.2947132	0.4877658	0.6146825	0.2616828	0.3303371	0.3673314	0.6971497	0.7027996	0.4691730	0.2637219	0.1548693	0.1649378	0.1654191	0.3161531	0.5920736	0.3947532	0.4031686	0.0354362	0.5569083	0.3261975	0.1960483	0.1905742	0.7465677	0.0721356	0.7009979	0.4418005	0.6835537	0.7590838	0.4289380	0.4685691	0.0771853	0.4821002	0.2198548	0.3556683	0.6436793	0.3457989	0.6057624	0.1763504	0.4233560	0.1722975	0.1707252	0.6281803	0.0890791	0.2049139	0.0130978	0.6655959	0.5908889	0.4933295	0.2702814	0.0299669	0.2142250
600	0.3552320	0.5767663	0.0461542	0.6586685	0.6133245	0.4230952	0.5481452	0.5325054	0.3932243	0.5173880	0.1462207	0.5419977	0.5990183	0.3271197	0.2537279	0.0697483	0.6814937	0.4849473	0.3509521	0.5040836	0.0549743	0.6128972	0.7384179	0.6688372	0.3083138	0.4925479	0.2170013	0.4257996	0.0271579	0.1847260	0.3746845	0.2849114	0.4880159	0.0275632	0.2466442	0.4274741	0.5697241	0.4613958	0.0034294	0.2249824	0.5736205	0.5596825	0.3758609	0.0912522	0.2712821	0.1826961	0.3225920	0.6742530	0.0351439	0.1665532	0.0504919	0.7255621	0.3569223	0.0118842	0.4848308	0.3950283	0.4905250	0.2567336	0.7198959	0.4078543	0.2583623	0.5179227	0.3724349	0.5967546	0.7352095	0.6470627	0.3572612	0.2230824	0.2717573	0.3805750	0.1130039	0.6215766	0.2991180	0.6246964	0.1697723	0.5682253	0.0960138	0.5661681	0.0750059	0.2672468	0.6699278	0.7364457	0.2411536	0.6670070	0.5822609	0.1856886	0.5519270	0.4409908	0.0452703	0.0429006	0.7569457	0.3836858	0.5324025	0.3287724	0.5630123	0.2278739	0.4500641	0.1715445	0.3772618	0.2174740	0.0087285	0.1731017	0.7388692	0.3249619	0.5434416	0.2847132	0.3005317	0.0095415	0.1459860	0.4717840	0.4468530	0.7946677	0.5455203	0.0912331	0.7398401	0.0245640	0.6473418	0.0165522	0.3307498	0.5264100	0.3599773	0.0184416	0.0567914	0.5948658	0.0952411	0.4035331	0.0244988	0.2806976	0.7629909	0.3503923	0.1309888	0.2239592	0.1122544	0.4711536	0.2397918	0.5768818	0.1330383	0.6549490	0.8028007	0.7553671	0.2212675	0.6197715	0.3956529	0.0387014	0.2372831	0.2985025	0.3541223	0.0920095	0.6327004	0.2208228	0.4525980	0.7839117	0.2744131	0.3152439	0.1848975	0.5636343	0.7866161	0.4101074	0.2951669	0.1851027	0.1403197	0.2202480	0.4350862	0.5144676	0.3184924	0.2911501	0.0407722	0.6075228	0.3733099	0.2172170	0.2581666	0.6696310	0.2034069	0.6415106	0.1399116	0.7221951	0.6398452	0.1291304	0.3243853	0.1139708	0.4438653	0.2673251	0.3715285	0.7067567	0.3651624	0.7196401	0.1578947	0.4434698	0.0891588	0.2015598	0.5190195	0.0576976	0.2125520	0.0315190	0.6647621	0.5995446	0.3779825	0.0780415	0.0434829	0.2461548
